"","hexid","ATT","CI.lower","CI.upper","period"
"1","FR65",9.98290967138475,-70.2859840137023,90.2518033564718,"0-12"
"2","FR55",0.269573175838018,-47.5245066513422,48.0636530030183,"0-12"
"3","FR60",4.73543891642047,-41.862103127726,51.332980960567,"0-12"
"4","FR66",-15.6162233820414,-57.4558695241088,26.2234227600261,"0-12"
"5","FR70",8.95321413691857,-27.7173437400464,45.6237720138835,"0-12"
"6","FR54",-4.67917770951926,-29.2533933618945,19.895037942856,"0-12"
"7","FR58",51.499131168072,-46.5401604749435,149.538422811088,"0-12"
"8","FR59",-10.5201760595201,-52.161127890465,31.1207757714248,"0-12"
"9","FR61",2.62771368862402,-22.0096948742219,27.26512225147,"0-12"
"10","FR62",1.99543113684684,-89.3188603861462,93.3097226598399,"0-12"
"11","FR63",3.61042444658153,-34.51347655934,41.734325452503,"0-12"
"12","FR68",21.6363841255638,-20.7134619725858,63.9862302237134,"0-12"
"13","FR69",-17.2535794564666,-62.9861885650491,28.4790296521159,"0-12"
"14","FR17",7.79033665917001,-3.56221370532494,19.142887023665,"0-12"
"15","FR21",9.17816939939762,-48.8999292341058,67.256268032901,"0-12"
"16","FR41",1.23981347344505,-27.0327014702586,29.5123284171487,"0-12"
"17","FR51",4.66744438451984,-39.5339202332313,48.868809002271,"0-12"
"18","FR6",-8.76024807626503,-57.5770003707549,40.0565042182248,"0-12"
"19","FR9",8.22939963091887,-62.0017422149694,78.4605414768072,"0-12"
"20","FR11",2.78884075056193,-12.1909331138411,17.768614614965,"0-12"
"21","FR12",1.82915022091932,-29.5001776786663,33.158478120505,"0-12"
"22","FR19",1.38911286172278,-18.8956785324897,21.6739042559352,"0-12"
"23","FR22",3.00105209468851,-37.1319237046083,43.1340278939853,"0-12"
"24","FR23",6.39540677828523,-42.149183177917,54.9399967344875,"0-12"
"25","FR24",112.936581339977,-100.786791144856,326.65995382481,"0-12"
"26","FR25",-2.41072000626826,-99.9252665235178,95.1038265109813,"0-12"
"27","FR29",5.06070305436699,-29.4466926331256,39.5680987418596,"0-12"
"28","FR36",6.10849714054169,-48.258199865013,60.4751941460964,"0-12"
"29","FR47",-7.29432992309439,-69.6034290071864,55.0147691609977,"0-12"
"30","FR53",-7.43358536361086,-23.1872121063817,8.32004137916,"0-12"
"31","FR1",-0.137011105073713,-35.3361575861817,35.0621353760343,"0-12"
"32","FR2",-0.472790505204681,-41.9743667545302,41.0287857441209,"0-12"
"33","FR30",-7.47325337010682,-20.9688849885883,6.02237824837466,"0-12"
"34","FR43",10.4134400824314,-82.6568412372104,103.483721402073,"0-12"
"35","FR48",-80.4598947630575,-180.247935868104,19.3281463419891,"0-12"
"36","FR49",-50.2364433770496,-103.418093889556,2.9452071354572,"0-12"
"37","FR15",-1.05145220155938,-101.802174628898,99.6992702257794,"0-12"
"38","FR26",21.5762111146366,-25.9530794793211,69.1055017085943,"0-12"
"39","FR16",-2.88330656015631,-42.3675643172722,36.6009511969596,"0-12"
"40","FR18",15.3241188969064,-21.33112270483,51.9793604986428,"0-12"
"41","FR20",72.3160134929788,38.2174827000866,106.414544285871,"0-12"
"42","FR31",30.9582777924832,-96.6722146415661,158.588770226533,"0-12"
"43","FR39",-3.34952511486733,-179.836609775372,173.137559545637,"0-12"
"44","FR44",-1.92804353925904,-32.7019907032081,28.84590362469,"0-12"
"45","FR5",-1.10872977867815,-19.7449126053107,17.5274530479544,"0-12"
"46","FR87",41.3102478356447,-101.866338863769,184.486834535059,"0-12"
"47","FR84",-0.981115264786633,-32.7934996679568,30.8312691383835,"0-12"
"48","FR88",26.6846184951596,-47.3713595345185,100.740596524838,"0-12"
"49","FR75",-2.94887568458386,-49.1236838902525,43.2259325210848,"0-12"
"50","FR90",-7.22692864991436,-29.6736592780183,15.2198019781895,"0-12"
"51","FR91",6.3730492956332,-49.0769121217301,61.8230107129965,"0-12"
"52","ALL",1.39980280563117,-3.00923047296666,5.808836084229,"0-12"
"53","ALL Over 10",1.24892058978103,-3.26003397142259,5.75787515098465,"0-12"
"54","ALL Under 10",4.69134882365613,-16.3685750801557,25.751272727468,"0-12"
"55","FR65",13.8814508254355,-86.9915043418165,114.754405992688,"0-24"
"56","FR55",4.06462883375586,-49.5493591317168,57.6786167992285,"0-24"
"57","FR60",12.5474774686712,-41.4327997946827,66.5277547320251,"0-24"
"58","FR66",-19.9140809906098,-72.4846106698442,32.6564486886246,"0-24"
"59","FR70",6.81649314151678,-42.6335331106561,56.2665193936896,"0-24"
"60","FR54",-6.95824085568292,-36.8432881378055,22.9268064264397,"0-24"
"61","FR58",78.6773969317778,-46.4427354252737,203.797529288829,"0-24"
"62","FR59",-0.314425125186826,-63.4829509304842,62.8541006801106,"0-24"
