"","group","period","ATT","CI.lower","CI.upper"
"1","All","0-12",-0.330449022259651,-3.05849044937562,2.39759240485632
"2","All","0-24",4.97461366153863,0.721510924366709,9.22771639871056
"3","All","0-36",9.50320787650397,4.16200605653563,14.8444096964723
"4","All","12-24",5.31483437205628,2.12457516744519,8.50509357666737
"5","All","12-36",9.05315582227581,4.54309983268401,13.5632118118676
"6","All","24-36",4.00231177293182,1.02188825237622,6.98273529348741
"7","Below Median wind","0-12",-1.37012499584732,-5.51315509961465,2.77290510792001
"8","Above Median wind","0-12",0.465384989379975,-3.15938399338513,4.09015397214509
"9","Below Median wind","0-24",1.84510261668297,-4.79088297023547,8.4810882036014
"10","Above Median wind","0-24",7.15630859840488,1.61561414008286,12.6970030567269
"11","Below Median wind","0-36",4.14624148566438,-4.29891052943569,12.5913935007645
"12","Above Median wind","0-36",13.074560502751,6.17908250117824,19.9700385043238
"13","Below Median wind","12-24",3.65738456375781,-1.27635966466327,8.59112879217889
"14","Above Median wind","12-24",6.50581310661937,2.32357801223333,10.6880482010054
"15","Below Median wind","12-36",4.32725980729282,-2.76767504775135,11.422194662337
"16","Above Median wind","12-36",12.2576761473798,6.41532243735659,18.100029857403
"17","Below Median wind","24-36",1.43961236859594,-3.07441371219464,5.95363844938653
"18","Above Median wind","24-36",5.98293133321605,2.01452840073816,9.95133426569393
"19","Below Median tmax","0-12",-1.26772428767927,-4.64689625518554,2.11144767982701
"20","Above Median tmax","0-12",1.42366539235375,-3.19914067261135,6.04647145731886
"21","Below Median tmax","0-24",5.7734869237388,0.457569752758358,11.0894040947192
"22","Above Median tmax","0-24",3.5537096805133,-3.53588861131066,10.6433079723373
"23","Below Median tmax","0-36",11.5059012692011,4.81665745601748,18.1951450823848
"24","Above Median tmax","0-36",5.98025117505,-2.89178790041785,14.8522902505179
"25","Below Median tmax","12-24",6.71801553177488,2.75172033489109,10.6843107286587
"26","Above Median tmax","12-24",2.74337394931135,-2.62593116635175,8.11267906497445
"27","Below Median tmax","12-36",11.353944119813,5.70477652362616,17.0031117159998
"28","Above Median tmax","12-36",5.00913175866449,-2.48037117142929,12.4986346887583
"29","Below Median tmax","24-36",5.05488539216122,1.26629172366623,8.8434790606562
"30","Above Median tmax","24-36",2.29316238540766,-2.53455457648792,7.12087934730323
"31","Below Median tmean","0-12",-2.83760319487781,-6.59506859982452,0.919862210068889
"32","Above Median tmean","0-12",2.4643125432081,-1.50282128495186,6.43144637136807
"33","Below Median tmean","0-24",-4.24598748350048,-9.99937029991358,1.50739533291262
"34","Above Median tmean","0-24",16.0846906358983,9.76927136822605,22.4001099035705
"35","Below Median tmean","0-36",-4.86709025393291,-12.0496472441928,2.31546673632695
"36","Above Median tmean","0-36",27.2807409029266,19.2919337318233,35.2695480740299
"37","Below Median tmean","12-24",-0.628928764689905,-5.00794358434485,3.75008605496504
"38","Above Median tmean","12-24",12.0378887761315,7.38064489584342,16.6951326564196
"39","Below Median tmean","12-36",-0.999849058666342,-6.99815946681791,4.99846134948523
"40","Above Median tmean","12-36",22.1283266779863,15.2875616055811,28.9690917503915
"41","Below Median tmean","24-36",0.209697430357792,-3.60702374293967,4.02641860365525
"42","Above Median tmean","24-36",9.92893412089855,5.15776600240091,14.7001022393962
"43","Below Median ppt","0-12",0.653079115263505,-2.90048064669387,4.20663887722088
"44","Above Median ppt","0-12",-1.74198394561537,-5.99910542200098,2.51513753077024
"45","Below Median ppt","0-24",9.46020008061757,3.96800194283977,14.9523982183954
"46","Above Median ppt","0-24",-1.74479381744046,-8.46684897397162,4.9772613390907
"47","Below Median ppt","0-36",16.685480385175,9.68988342706392,23.6810773432861
"48","Above Median ppt","0-36",-0.535969541288395,-8.80668167806265,7.73474259548586
"49","Below Median ppt","12-24",8.16885262424588,4.13308498693091,12.2046202615609
"50","Above Median ppt","12-24",0.560484118518414,-4.64838406038721,5.76935229742404
"51","Below Median ppt","12-36",14.4875601598002,8.52104402253336,20.454076297067
"52","Above Median ppt","12-36",1.80882954949174,-5.07997473709307,8.69763383607654
"53","Below Median ppt","24-36",6.87562334774156,2.53409036257675,11.2171563329064
"54","Above Median ppt","24-36",1.44125923457827,-2.65758097230246,5.54009944145899
"55","Below Median mesma","0-12",-0.0847121456374274,-3.79435225075232,3.62492795947747
"56","Above Median mesma","0-12",-0.619855869886842,-4.64564490312982,3.40593316335614
"57","Below Median mesma","0-24",2.29706513016733,-3.07106748222372,7.66519774255837
"58","Above Median mesma","0-24",9.48934338852613,2.51873894895692,16.4599478280953
"59","Below Median mesma","0-36",2.22594280498481,-4.5411536955616,8.99303930553121
"60","Above Median mesma","0-36",21.5279455167126,12.8292109825391,30.2266800508862
"61","Below Median mesma","12-24",3.51022496231587,-0.349817766323744,7.37026769095549
"62","Above Median mesma","12-24",9.2043272615841,3.53740840304198,14.8712461201262
"63","Below Median mesma","12-36",3.21459468835219,-2.40768354998634,8.83687292669071
"64","Above Median mesma","12-36",19.5914086391652,12.03798705292,27.1448302254103
"65","Below Median mesma","24-36",0.927060743337923,-2.90509260571415,4.75921409239
"66","Above Median mesma","24-36",8.71016878653718,3.9686854851216,13.4516520879528
"67","Below Median population","0-12",-1.64421283929187,-5.91801242021974,2.629586741636
"68","Above Median population","0-12",0.572920486357984,-2.97103466872477,4.11687564144073
"69","Below Median population","0-24",-3.25449534578371,-9.95925708316375,3.45026639159632
"70","Above Median population","0-24",10.515491475391,5.01380005145665,16.0171828993253
"71","Below Median population","0-36",-4.73173239902803,-13.2446633016453,3.78119850358929
"72","Above Median population","0-36",18.7450426036114,11.8857333665423,25.6043518406806
"73","Below Median population","12-24",-1.56099830003305,-6.71499468444998,3.59299808438388
"74","Above Median population","12-24",9.58560531239475,5.52365506753487,13.6475555572546
"75","Below Median population","12-36",-3.18819191772235,-10.396238961374,4.0198551259293
"76","Above Median population","12-36",16.9289667994056,11.1473322487311,22.71060135008
"77","Below Median population","24-36",-1.14715946324733,-5.61532288190081,3.32100395540615
"78","Above Median population","24-36",8.13010277007902,4.12967364891184,12.1305318912462
"79","Below Median CaseCount","0-12",-2.93900309095994,-6.81130566084664,0.933299478926755
"80","Above Median CaseCount","0-12",2.2400062081611,-1.60391418559568,6.08392660191788
"81","Below Median CaseCount","0-24",-5.79250825858159,-11.5337851618899,-0.0512313552732397
"82","Above Median CaseCount","0-24",18.0695012458116,11.7379581774257,24.4010443141976
"83","Below Median CaseCount","0-36",-9.04774915691503,-16.1421859813447,-1.95331233248538
"84","Above Median CaseCount","0-36",33.7769128598269,25.6616460936106,41.8921796260433
"85","Below Median CaseCount","12-24",-2.38360997596836,-6.66734709623798,1.90012714430126
"86","Above Median CaseCount","12-24",14.9020394889735,10.1216054080745,19.6824735698725
"87","Below Median CaseCount","12-36",-5.55306782921023,-11.4881555360158,0.382019877595299
"88","Above Median CaseCount","12-36",29.0132627472309,22.0751780092871,35.9513474851746
"89","Below Median CaseCount","24-36",-2.35582047313706,-6.17099049198107,1.45934954570694
"90","Above Median CaseCount","24-36",13.9587389184352,9.18453595202346,18.7329418848469
"91","Below Median acres","0-12",-1.40684801632617,-5.06212571707702,2.24842968442468
"92","Above Median acres","0-12",1.02298857098824,-3.07577486248515,5.12175200446163
"93","Below Median acres","0-24",2.89954729736658,-2.79426783760533,8.5933624323385
"94","Above Median acres","0-24",7.59386944976081,1.196869853827,13.9908690456946
"95","Below Median acres","0-36",6.91400602265915,-0.0316983168814557,13.8597103621998
"96","Above Median acres","0-36",13.2500115824917,4.89467771263743,21.6053454523459
"97","Below Median acres","12-24",3.99046081472358,-0.347430802962661,8.32835243240983
"98","Above Median acres","12-24",6.87500222351335,2.16675662796955,11.5832478190572
"99","Below Median acres","12-36",7.44924916080234,1.56910767926011,13.3293906423446
"100","Above Median acres","12-36",11.3449282429456,4.31608311049556,18.3737733753956
"101","Below Median acres","24-36",3.44842446809218,-0.343734940802426,7.24058387698679
"102","Above Median acres","24-36",4.89728139911611,0.0769152517391234,9.71764754649309
