"","omitted","month","ATT","CI.lower","CI.upper"
"1","FR81",-36,0.0490716566093608,-0.442306688470391,0.540450001689112
"2","FR5",-36,-0.0520242012215528,-0.539473603584341,0.435425201141235
"3","FR77",-36,0.0640872266018638,-0.431836874125622,0.560011327329349
"4","FR32",-36,0.0597103621650527,-0.417941588911012,0.537362313241118
"5","FR25",-36,0.0549524971494589,-0.422498691843638,0.532403686142556
"6","FR47",-36,0.0677131624254624,-0.420759929846669,0.556186254697593
"7","FR18",-36,0.0541929102622682,-0.422553464327409,0.530939284851946
"8","FR40",-36,0.0935351393893446,-0.405269948180151,0.59234022695884
"9","FR41",-36,0.0547260433010868,-0.421958734557992,0.531410821160166
"10","FR21",-36,0.00675723692599167,-0.505751282771225,0.519265756623208
"11","FR29",-36,0.0685058461227345,-0.419905200874063,0.556916893119532
"12","FR76",-36,0.0520077247538976,-0.459661700590519,0.563677150098315
"13","FR38",-36,0.0526587954684562,-0.426567246550835,0.531884837487748
"14","FR89",-36,0.0552436493849074,-0.425525752004536,0.536013050774351
"15","FR23",-36,0.0519327369706889,-0.43977333239087,0.543638806332247
"16","FR7",-36,0.0641813993937719,-0.414651102471896,0.54301390125944
"17","FR13",-36,0.106336777825342,-0.393662270148453,0.606335825799136
"18","FR91",-36,0.103829376342316,-0.390075431076614,0.597734183761245
"19","FR92",-36,0.019665151860363,-0.468820073402748,0.508150377123474
"20","FR81",-35,-0.286606851634892,-0.784894886638773,0.211681183368988
"21","FR5",-35,-0.267803029452291,-0.757156285066607,0.221550226162025
"22","FR77",-35,-0.274205823772466,-0.768147001293351,0.219735353748419
"23","FR32",-35,-0.230215259120135,-0.715899427498275,0.255468909258004
"24","FR25",-35,-0.263095667322494,-0.744217558209666,0.218026223564677
"25","FR47",-35,-0.275307602798351,-0.762640132826391,0.212024927229688
"26","FR18",-35,-0.267921945499647,-0.750007558108749,0.214163667109455
"27","FR40",-35,-0.253444004236797,-0.739278240962476,0.232390232488881
"28","FR41",-35,-0.254218598388683,-0.739851234470712,0.231414037693345
"29","FR21",-35,-0.226353539708783,-0.746626970609522,0.293919891191957
"30","FR29",-35,-0.258583270806374,-0.742096932699545,0.224930391086797
"31","FR76",-35,-0.275171958253104,-0.760166917606315,0.209823001100108
"32","FR38",-35,-0.251155243361893,-0.734107134129325,0.23179664740554
"33","FR89",-35,-0.318398176108552,-0.821104422563504,0.1843080703464
"34","FR23",-35,-0.273900445730649,-0.764777933456708,0.216977041995411
"35","FR7",-35,-0.205052706887805,-0.695206043178579,0.28510062940297
"36","FR13",-35,-0.207180472158081,-0.705353792890632,0.290992848574471
"37","FR91",-35,-0.374809530414737,-0.880098166030502,0.130479105201027
"38","FR92",-35,-0.244157559743194,-0.733680648318426,0.245365528832037
"39","FR81",-34,0.0329808988192798,-0.427901503930028,0.493863301568588
"40","FR5",-34,0.0344158151177267,-0.420956769948199,0.489788400183652
"41","FR77",-34,0.0228367180302752,-0.43711491447945,0.48278835054
"42","FR32",-34,0.0355904794473623,-0.414323326692849,0.485504285587574
"43","FR25",-34,0.0247860799639631,-0.423452077639134,0.47302423756706
"44","FR47",-34,0.0314606887088014,-0.431939526694287,0.49486090411189
"45","FR18",-34,0.0259149608731712,-0.421482868227607,0.47331278997395
"46","FR40",-34,0.0476763738082698,-0.405906593147456,0.501259340763996
"47","FR41",-34,0.0294797244700414,-0.419257620382392,0.478217069322475
"48","FR21",-34,-0.0891557604268085,-0.581895255582135,0.403583734728518
"49","FR29",-34,-0.00370994299053097,-0.458072585856362,0.4506526998753
"50","FR76",-34,0.0187081829904414,-0.433391405257953,0.470807771238836
"51","FR38",-34,0.0135904831474231,-0.444966232722361,0.472147199017208
"52","FR89",-34,0.0219541827088508,-0.484073573304731,0.527981938722433
"53","FR23",-34,0.0344679305025957,-0.419527667676938,0.48846352868213
"54","FR7",-34,0.0411408548077027,-0.409607506519863,0.491889216135269
"55","FR13",-34,0.0511019701050014,-0.401607683138228,0.503811623348231
"56","FR91",-34,0.0215390150809913,-0.440759203760881,0.483837233922864
"57","FR92",-34,0.0688091731097237,-0.38612709788319,0.523745444102638
"58","FR81",-33,-0.0936592179796672,-0.658490877161752,0.471172441202417
"59","FR5",-33,-0.150031701551306,-0.70445671338485,0.404393310282238
"60","FR77",-33,-0.106814665078763,-0.664939406293763,0.451310076136237
"61","FR32",-33,-0.0993243612180807,-0.64652028319515,0.447871560758988
"62","FR25",-33,-0.0999374311475588,-0.649853099206736,0.449978236911618
"63","FR47",-33,-0.0933853936184172,-0.655435962143897,0.468665174907062
"64","FR18",-33,-0.100550151018032,-0.651713511099612,0.450613209063548
"65","FR40",-33,-0.115895743836236,-0.675999512040626,0.444208024368153
"66","FR41",-33,-0.0876964265247093,-0.643965818569206,0.468572965519787
"67","FR21",-33,-0.0801803939418646,-0.641984736740209,0.48162394885648
"68","FR29",-33,-0.102906707260421,-0.655710635515771,0.449897220994929
"69","FR76",-33,-0.136179690054304,-0.711720017830217,0.439360637721609
"70","FR38",-33,-0.0502537305772563,-0.62930157075595,0.528794109601437
"71","FR89",-33,-0.096616793295925,-0.681920396312262,0.488686809720412
"72","FR23",-33,-0.099290911292127,-0.649436455141705,0.450854632557451
"73","FR7",-33,-0.0593744508217547,-0.612932584287232,0.494183682643723
"74","FR13",-33,-0.0682099092291382,-0.643327858943724,0.506908040485448
"75","FR91",-33,-0.0743944060594196,-0.638776890540704,0.489988078421865
"76","FR92",-33,-0.126772810946842,-0.680013109925766,0.426467488032081
"77","FR81",-32,0.0562077790695014,-0.398219918931714,0.510635477070717
"78","FR5",-32,0.0846737248232486,-0.373608567877115,0.542956017523612
"79","FR77",-32,0.0209611109892332,-0.456906236548958,0.498828458527425
"80","FR32",-32,0.0445405759795584,-0.400347249480488,0.489428401439604
"81","FR25",-32,0.0454930508269385,-0.400900852848241,0.491886954502118
"82","FR47",-32,0.0384516657707107,-0.407973698857501,0.484877030398922
"83","FR18",-32,0.0453368058128724,-0.399007635583525,0.48968124720927
"84","FR40",-32,0.0506154679296078,-0.398115764087415,0.49934669994663
"85","FR41",-32,0.0481002662651102,-0.396258161048224,0.492458693578445
"86","FR21",-32,0.227900520463334,-0.27896723694306,0.734768277869728
"87","FR29",-32,0.0594464203226459,-0.40693888757287,0.525831728218162
"88","FR76",-32,0.043705349927597,-0.413013466213359,0.500424166068553
"89","FR38",-32,0.0591501710931152,-0.392759478772011,0.511059820958242
"90","FR89",-32,0.0596983803348633,-0.397500037143587,0.516896797813314
"91","FR23",-32,0.0486685496488734,-0.396363588205719,0.493700687503466
"92","FR7",-32,-0.00208023876413838,-0.451766291634401,0.447605814106125
"93","FR13",-32,0.0506881446239533,-0.398590888657672,0.499967177905578
"94","FR91",-32,-0.138813373176388,-0.612573787286845,0.334947040934069
"95","FR92",-32,0.046547346154939,-0.398695721698181,0.491790414008059
"96","FR81",-31,0.293877331925337,-0.230282401374688,0.818037065225362
"97","FR5",-31,0.446042579755729,-0.0179806629748034,0.910065822486261
"98","FR77",-31,0.478048428453312,0.00847463906712814,0.947622217839497
"99","FR32",-31,0.457947427849227,-0.000368818796044557,0.916263674494499
"100","FR25",-31,0.461400873519666,-0.0027478806030225,0.925549627642355
"101","FR47",-31,0.45396302017922,-0.00421351373177198,0.912139554090212
"102","FR18",-31,0.445976802924051,-0.0107985484330778,0.902752154281181
"103","FR40",-31,0.472911998811801,0.0133559389460519,0.93246805867755
"104","FR41",-31,0.449543827136706,-0.00769327835417205,0.906780932627584
"105","FR21",-31,0.543423533408638,0.0626181051159742,1.0242289617013
"106","FR29",-31,0.480156110650939,0.0144074454976605,0.945904775804219
"107","FR76",-31,0.470753233676707,-0.00934138609536989,0.950847853448784
"108","FR38",-31,0.475914314533907,0.0129026463720612,0.938925982695752
"109","FR89",-31,0.460905427745172,-0.00452005678657552,0.92633091227692
"110","FR23",-31,0.470011858462439,0.00743203000290582,0.932591686921973
"111","FR7",-31,0.452730131866721,-0.00752353023765945,0.912983793971101
"112","FR13",-31,0.332511997137817,-0.133035941624252,0.798059935899887
"113","FR91",-31,0.286763174476531,-0.184290611032494,0.757816959985557
"114","FR92",-31,0.458088791761635,-0.00144131067672454,0.917618894199994
"115","FR81",-30,0.17539892285938,-0.249851908093821,0.600649753812581
"116","FR5",-30,0.0773915773301619,-0.343275811294727,0.49805896595505
"117","FR77",-30,0.166906249683433,-0.263353281332878,0.597165780699743
"118","FR32",-30,0.158073577301454,-0.250463670814694,0.566610825417603
"119","FR25",-30,0.153315225226217,-0.256118162645352,0.562748613097787
"120","FR47",-30,0.151983021241225,-0.26008213993022,0.564048182412671
"121","FR18",-30,0.153553104005452,-0.251598511273709,0.558704719284613
"122","FR40",-30,0.0845852285285234,-0.332195231597728,0.501365688654775
"123","FR41",-30,0.152707361824142,-0.252522637062427,0.557937360710711
"124","FR21",-30,0.10473943612532,-0.317421356549606,0.526900228800245
"125","FR29",-30,0.203827820173672,-0.22196003941279,0.629615679760134
"126","FR76",-30,0.152824440206503,-0.266041310427509,0.571690190840515
"127","FR38",-30,0.173974401454178,-0.236746510277649,0.584695313186005
"128","FR89",-30,0.193747905106807,-0.242498419179919,0.629994229393532
"129","FR23",-30,0.159308416118079,-0.248476346488948,0.567093178725106
"130","FR7",-30,0.179990358703638,-0.231362576858794,0.591343294266069
"131","FR13",-30,0.162554552718623,-0.249182273210305,0.574291378647551
"132","FR91",-30,0.134729174567713,-0.285023316760027,0.554481665895453
"133","FR92",-30,0.178706933301345,-0.229392223211498,0.586806089814187
"134","FR81",-29,-0.148954621890672,-0.605395295046528,0.307486051265183
"135","FR5",-29,-0.113826290746353,-0.556860560295896,0.329207978803191
"136","FR77",-29,-0.162597140433663,-0.629799719364952,0.304605438497627
"137","FR32",-29,-0.14655089688233,-0.579764790815181,0.286662997050522
"138","FR25",-29,-0.165369779240977,-0.601725149744114,0.27098559126216
"139","FR47",-29,-0.157468176603217,-0.6001730092198,0.285236656013366
"140","FR18",-29,-0.153318852276759,-0.585798657054737,0.279160952501218
"141","FR40",-29,-0.191597022566278,-0.627691518411134,0.244497473278577
"142","FR41",-29,-0.149339857633095,-0.581605849315803,0.282926134049613
"143","FR21",-29,-0.131771274993226,-0.572241472760686,0.308698922774233
"144","FR29",-29,-0.154590863642243,-0.62666781219656,0.317486084912075
