"hexid","month","observed","predicted"
"FR81",-36,0,0.00364662926246406
"FR81",-35,0,0.0992290915116394
"FR81",-34,0,0.145612933133148
"FR81",-33,0,0.170048557913873
"FR81",-32,1,0.0815140237485051
"FR81",-31,0,0.0562545775005212
"FR81",-30,0,0.164062030221051
"FR81",-29,0,-0.0132724520258903
"FR81",-28,0,0.061727630897898
"FR81",-27,0,0.421527071608165
"FR81",-26,0,0.42217356219746
"FR81",-25,0,0.0693582549386465
"FR81",-24,0,0.621501910123282
"FR81",-23,1,0.583152280032127
"FR81",-22,0,0.0827333747087838
"FR81",-21,2,0.554531961199568
"FR81",-20,0,-0.0503045692909359
"FR81",-19,0,0.427569534085446
"FR81",-18,0,0.368669936807334
"FR81",-17,0,0.273346118425554
"FR81",-16,0,0.271683374258869
"FR81",-15,1,0.627779677075999
"FR81",-14,0,0.593442620310919
"FR81",-13,1,0.462185504638407
"FR81",-12,0,0.304710612260633
"FR81",-11,1,0.233833670597437
"FR81",-10,0,0.225372509423088
"FR81",-9,0,0.421185071042444
"FR81",-8,0,-0.0367218897044437
"FR81",-7,0,0.14379072378793
"FR81",-6,1,-0.051996999869107
"FR81",-5,0,0.319495375901154
"FR81",-4,0,0.298387174497885
"FR81",-3,1,0.122708626244406
"FR81",-2,0,0.521061492535737
"FR81",-1,0,0.657810759031837
"FR81",0,0,0.729627164558883
"FR81",1,0,1.00237001659678
"FR81",2,0,0.514532416065045
"FR81",3,0,0.345497323167661
"FR81",4,0,0.60743315662586
"FR81",5,0,0.422615184281281
"FR81",6,0,0.248933809927221
"FR81",7,0,0.130979032795315
"FR81",8,0,0.329166246087509
"FR81",9,0,0.509386247627292
"FR81",10,0,0.462622900038721
"FR81",11,0,0.262937435620003
"FR81",12,0,0.492559327237857
"FR81",13,0,0.702456665867497
"FR81",14,0,1.24281064230843
"FR81",15,0,0.492563333821446
"FR81",16,0,0.184472074233218
"FR81",17,0,0.530807009505866
"FR81",18,0,0.49247488154262
"FR81",19,0,0.315201697851358
"FR81",20,0,0.459094908604143
"FR81",21,1,0.373676993704574
"FR81",22,0,0.159022994030727
"FR81",23,0,0.0406900642519697
"FR81",24,0,0.335407432447151
"FR81",25,0,0.0980699341755175
"FR81",26,0,0.416212169990297
"FR81",27,0,0.166920887901782
"FR81",28,0,-0.00925728444372487
"FR81",29,1,0.414408714768654
"FR81",30,0,0.303926674214039
"FR81",31,0,0.0821744507417316
"FR81",32,0,0.363522333958831
"FR81",33,1,0.222471718271828
"FR81",34,0,0.351375164174745
"FR81",35,1,0.357258582393799
"FR81",36,1,0.29352899029707
"FR5",-36,1,0.902917028950022
"FR5",-35,1,1.00422848874047
"FR5",-34,3,1.27215280550302
"FR5",-33,1,1.42274534492781
"FR5",-32,1,0.502999231172964
"FR5",-31,2,0.79167344377117
"FR5",-30,0,0.802342892948994
"FR5",-29,0,0.498967551337238
"FR5",-28,2,0.639560140074445
"FR5",-27,1,1.10046649195524
"FR5",-26,0,0.598545575401087
"FR5",-25,1,0.958908475601931
"FR5",-24,1,1.35077729019693
"FR5",-23,1,0.721015408189051
"FR5",-22,1,0.755378588732371
"FR5",-21,0,1.59500304872255
"FR5",-20,0,0.620090433456962
"FR5",-19,1,1.80125137122227
"FR5",-18,2,1.91160449073926
"FR5",-17,1,0.773010924753348
"FR5",-16,1,0.706561407348536
"FR5",-15,1,0.814286693911442
"FR5",-14,0,1.18848075331858
"FR5",-13,2,2.17772987809221
"FR5",-12,2,1.43868227802294
"FR5",-11,2,1.08020140476319
"FR5",-10,3,1.59216520861784
"FR5",-9,1,0.946519978364417
"FR5",-8,1,1.22125066888758
"FR5",-7,0,0.841955685247306
"FR5",-6,1,1.3095261940716
"FR5",-5,0,0.688043695994321
"FR5",-4,2,0.726815143351307
"FR5",-3,0,0.532209810181254
"FR5",-2,0,0.711932173430335
"FR5",-1,4,0.59168810152196
"FR5",0,1,0.654101363177863
"FR5",1,1,0.477338893492216
"FR5",2,4,0.622406678189364
"FR5",3,1,0.692736448278592
"FR5",4,0,1.92732201121581
"FR5",5,2,0.47962229505757
"FR5",6,2,0.726062605690481
"FR5",7,0,1.14814643674594
"FR5",8,2,0.829318567085333
"FR5",9,2,0.547987280708009
"FR5",10,0,0.838401853023931
"FR5",11,0,1.03955549441185
"FR5",12,0,1.22620478975443
"FR5",13,1,1.19489745021941
"FR5",14,0,0.581919593355722
"FR5",15,0,1.55250718910539
"FR5",16,1,0.760667398511766
"FR5",17,1,0.899849931526386
"FR5",18,1,0.920151768384516
"FR5",19,0,0.521711821363295
"FR5",20,0,1.12041213313985
"FR5",21,0,0.579768740056157
"FR5",22,4,0.736444192923846
"FR5",23,1,0.630597164142548
"FR5",24,0,1.45126457562245
"FR5",25,0,0.928291411082705
"FR5",26,2,0.931876997780636
"FR5",27,2,0.72558212900622
"FR5",28,0,1.64880229199998
"FR5",29,1,1.42623484666425
"FR5",30,0,1.07924072923729
"FR5",31,2,0.314647565512045
"FR5",32,0,0.436613941954583
