"","hexid","TE","seTE","period","OmittedControl"
"1","FR81",-11.2484903848743,14.3109629657728,"0-36","CT1"
"2","FR81",-5.87356650986538,9.15315779603409,"0-12","CT1"
"3","FR81",-5.10831419723206,8.53428769219036,"13-24","CT1"
"4","FR81",-0.266609677776827,6.94185111879736,"25-36","CT1"
"5","FR81",-11.5009868572892,13.519501105815,"0-36","CT12"
"6","FR81",-5.99389690119627,8.61087050375416,"0-12","CT12"
"7","FR81",-5.25679256079451,8.14154018035225,"13-24","CT12"
"8","FR81",-0.250297395298453,6.50731456204621,"25-36","CT12"
"9","FR81",-9.45215929929847,13.4574163150967,"0-36","CT13"
"10","FR81",-5.40263847302025,8.00964755341597,"0-12","CT13"
"11","FR81",-4.43799143616081,8.50844591441912,"13-24","CT13"
"12","FR81",0.388470609882584,6.67487438603106,"25-36","CT13"
"13","FR81",-13.2108924616494,9.89750655040642,"0-36","CT16"
"14","FR81",-6.79194939157489,6.23815748807472,"0-12","CT16"
"15","FR81",-5.68498810075158,5.94557908364494,"13-24","CT16"
"16","FR81",-0.733954969322898,4.86786569550139,"25-36","CT16"
"17","FR81",-11.5760683753802,13.9765884959003,"0-36","CT19"
"18","FR81",-5.95142960125461,8.86022813381458,"0-12","CT19"
"19","FR81",-5.28955217438984,8.46226610329676,"13-24","CT19"
"20","FR81",-0.335086599735743,6.72543201567662,"25-36","CT19"
"21","FR81",-11.6072531232945,13.6355619562281,"0-36","CT2"
"22","FR81",-6.03068314369422,8.73876351960992,"0-12","CT2"
"23","FR81",-5.28903957262242,8.15247667924988,"13-24","CT2"
"24","FR81",-0.287530406977868,6.56503511070246,"25-36","CT2"
"25","FR81",-11.6425744929943,13.6755051123218,"0-36","CT20"
"26","FR81",-6.04281249697902,8.730870056845,"0-12","CT20"
"27","FR81",-5.28581647909393,8.28452287596724,"13-24","CT20"
"28","FR81",-0.313945516921324,6.49292144147774,"25-36","CT20"
"29","FR81",-20.1746370755856,12.3169373666942,"0-36","CT22"
"30","FR81",-9.0866691788671,7.66299539463836,"0-12","CT22"
"31","FR81",-8.33027700256357,7.61726948623977,"13-24","CT22"
"32","FR81",-2.75769089415494,5.91292256425023,"25-36","CT22"
"33","FR81",-17.6925491135176,13.2949467856988,"0-36","CT25"
"34","FR81",-8.86147758203526,8.46963802582204,"0-12","CT25"
"35","FR81",-7.50960141650561,7.92246383372448,"13-24","CT25"
"36","FR81",-1.32147011497676,6.50041602895075,"25-36","CT25"
"37","FR81",-10.2363346316461,14.8064413660262,"0-36","CT28"
"38","FR81",-5.46461940180747,9.54485078805318,"0-12","CT28"
"39","FR81",-5.02144437594599,8.80720390516865,"13-24","CT28"
"40","FR81",0.249729146107314,7.11053364608825,"25-36","CT28"
"41","FR81",-11.595709175023,13.7263439179065,"0-36","CT29"
"42","FR81",-6.02850747459536,8.871315598516,"0-12","CT29"
"43","FR81",-5.3151608203568,8.10898333669473,"13-24","CT29"
"44","FR81",-0.252040880070799,6.62998236418342,"25-36","CT29"
"45","FR81",-11.3046691319969,12.922300626573,"0-36","CT31"
"46","FR81",-6.00935554061897,8.2179800361888,"0-12","CT31"
"47","FR81",-5.13813360502302,7.78021489147925,"13-24","CT31"
"48","FR81",-0.157179986354951,6.23850253271861,"25-36","CT31"
"49","FR81",-9.24440374111991,12.2398690554464,"0-36","CT32"
"50","FR81",-5.18284229486912,8.34830412420576,"0-12","CT32"
"51","FR81",-4.51280611524788,7.14145898978701,"13-24","CT32"
"52","FR81",0.45124466899709,5.39627429264234,"25-36","CT32"
"53","FR81",-10.7405066850828,13.1285674038454,"0-36","CT37"
"54","FR81",-5.7726773027599,8.37457943955344,"0-12","CT37"
"55","FR81",-4.97990850937483,7.94327116678312,"13-24","CT37"
"56","FR81",0.0120791270519738,6.2554092159405,"25-36","CT37"
"57","FR81",-8.87672120791764,13.6522371084682,"0-36","CT38"
"58","FR81",-5.24163796340706,8.96692136183273,"0-12","CT38"
"59","FR81",-4.1278092544235,7.93265643969157,"13-24","CT38"
"60","FR81",0.492726009912915,6.56131550577798,"25-36","CT38"
"61","FR81",-10.0928953870492,14.1494433391451,"0-36","CT4"
"62","FR81",-5.44923287621232,9.07651515932642,"0-12","CT4"
"63","FR81",-4.67294602133657,8.50599636411447,"13-24","CT4"
"64","FR81",0.0292835104996643,6.74326665822047,"25-36","CT4"
"65","FR81",-11.5040559453409,13.1386744893192,"0-36","CT42"
"66","FR81",-5.96059094180851,8.42341820305588,"0-12","CT42"
"67","FR81",-5.20675813062795,7.86951198523967,"13-24","CT42"
"68","FR81",-0.336706872904433,6.30409186377254,"25-36","CT42"
"69","FR81",-10.866529195542,13.5575239563086,"0-36","CT43"
"70","FR81",-5.43304703925588,8.68445609310607,"0-12","CT43"
"71","FR81",-5.11496128757283,8.08698126848582,"13-24","CT43"
"72","FR81",-0.318520868713282,6.5564786399374,"25-36","CT43"
"73","FR81",-11.6651183436332,13.2116507113711,"0-36","CT44"
"74","FR81",-6.14071418661589,8.51319518161774,"0-12","CT44"
"75","FR81",-5.03328094467206,7.81391566540798,"13-24","CT44"
"76","FR81",-0.49112321234523,6.40436915650911,"25-36","CT44"
"77","FR81",-11.5113729865104,13.2173878665591,"0-36","CT47"
"78","FR81",-6.00728559524626,8.45567610175483,"0-12","CT47"
"79","FR81",-5.25869181587345,7.93336886080282,"13-24","CT47"
"80","FR81",-0.245395575390713,6.34527715673013,"25-36","CT47"
"81","FR81",-11.2559895695067,13.8748095589315,"0-36","CT48"
"82","FR81",-6.00921934531141,8.95135098682015,"0-12","CT48"
"83","FR81",-5.07559508775149,8.28470873504682,"13-24","CT48"
"84","FR81",-0.171175136443766,6.61417092180199,"25-36","CT48"
"85","FR81",-11.4781553986957,13.4079462423817,"0-36","CT49"
"86","FR81",-5.96256631112911,8.6336153073637,"0-12","CT49"
"87","FR81",-5.31621813569524,8.0323389090704,"13-24","CT49"
"88","FR81",-0.199370951871345,6.38084953692574,"25-36","CT49"
"89","FR81",-10.3835260935164,13.5132484889293,"0-36","CT5"
"90","FR81",-5.48413613477744,8.71331449382963,"0-12","CT5"
"91","FR81",-4.79604433543746,8.04310436370347,"13-24","CT5"
"92","FR81",-0.103345623301471,6.48031692510037,"25-36","CT5"
"93","FR81",-11.296476073313,13.3088712922565,"0-36","CT52"
"94","FR81",-5.94094367339012,8.50618325271993,"0-12","CT52"
"95","FR81",-5.19156149274674,7.93777442558645,"13-24","CT52"
"96","FR81",-0.163970907176114,6.46240193066797,"25-36","CT52"
"97","FR81",-11.3973178802886,13.7360021907684,"0-36","CT53"
"98","FR81",-5.994085201696,8.85098014766893,"0-12","CT53"
"99","FR81",-5.2071994777869,8.18231825811217,"13-24","CT53"
"100","FR81",-0.196033200805701,6.58692451249665,"25-36","CT53"
"101","FR81",-11.418718360133,13.5232069479936,"0-36","CT54"
"102","FR81",-5.9756383725209,8.6090306165313,"0-12","CT54"
"103","FR81",-5.238464665487,8.11556980283964,"13-24","CT54"
"104","FR81",-0.20461532212507,6.54975150499065,"25-36","CT54"
"105","FR81",-11.8880867556733,13.8146232736036,"0-36","CT56"
"106","FR81",-6.229618916172,8.9472693677847,"0-12","CT56"
"107","FR81",-5.44637591864065,8.16430355959581,"13-24","CT56"
"108","FR81",-0.212091920860605,6.64336770310534,"25-36","CT56"
"109","FR81",-11.6641856095948,13.4009562753825,"0-36","CT57"
"110","FR81",-6.05665163365165,8.54832120389461,"0-12","CT57"
"111","FR81",-5.29973186018128,8.07054994920353,"13-24","CT57"
"112","FR81",-0.307802115761914,6.43257780420656,"25-36","CT57"
"113","FR81",-11.4445341576764,14.0907224172165,"0-36","CT58"
"114","FR81",-5.86822886694157,9.00910609910965,"0-12","CT58"
"115","FR81",-5.19069794013368,8.42526979205058,"13-24","CT58"
"116","FR81",-0.385607350601164,6.81170275813556,"25-36","CT58"
"117","FR81",-11.0243974354027,13.5406343089229,"0-36","CT59"
"118","FR81",-5.88864070946592,8.70262512062746,"0-12","CT59"
"119","FR81",-5.04098893556294,8.09500518286928,"13-24","CT59"
"120","FR81",-0.0947677903738476,6.48721701403018,"25-36","CT59"
"121","FR81",-10.3296047250714,13.8381317161729,"0-36","CT6"
"122","FR81",-5.41751199508405,8.84516973634165,"0-12","CT6"
"123","FR81",-4.78242133708915,8.17147796231811,"13-24","CT6"
"124","FR81",-0.129671392898157,6.81790361040726,"25-36","CT6"
"125","FR81",-11.6488684149824,14.828824283637,"0-36","CT60"
"126","FR81",-6.04073009462967,9.53188891546602,"0-12","CT60"
"127","FR81",-5.30733912923532,8.83613664491883,"13-24","CT60"
"128","FR81",-0.300799191117418,7.13861418837864,"25-36","CT60"
"129","FR81",-11.6164494543139,14.1379509483966,"0-36","CT61"
"130","FR81",-6.10999862906931,9.02046298953875,"0-12","CT61"
"131","FR81",-5.22697889503272,8.48283902849563,"13-24","CT61"
"132","FR81",-0.27947193021183,6.82307456285374,"25-36","CT61"
"133","FR5",1.31080670305585,9.45422693286925,"0-36","CT1"
"134","FR5",3.32791973283257,4.8877286656187,"0-12","CT1"
"135","FR5",-2.2958568924812,5.80351966970314,"13-24","CT1"
"136","FR5",0.27874386270448,5.64018393608297,"25-36","CT1"
