"hexid","ATT","CI.lower","CI.upper","period","size"
"ALL",0.217537693948373,-3.23108235583751,3.66615774373426,"0-12","20km"
"ALL Over 10",1.141351739747,-3.78039381340955,6.06309729290354,"0-12","20km"
"ALL Under 10",-0.673489754246204,-5.50710879169697,4.16012928320456,"0-12","20km"
"ALL",0.716394331734744,-3.6754403971573,5.10822906062679,"13-24","20km"
"ALL Over 10",1.91228630077388,-3.98859394513099,7.81316654667876,"13-24","20km"
"ALL Under 10",-0.768691793662762,-7.34446228019729,5.80707869287176,"13-24","20km"
"ALL",1.25923484385372,-2.76399741550085,5.28246710320829,"25-36","20km"
"ALL Over 10",3.52071095684075,-2.14753712862936,9.18895904231086,"25-36","20km"
"ALL Under 10",-1.03681871740384,-6.74823552196214,4.67459808715446,"25-36","20km"
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","20km"
"ALL Over 10",6.85180177166534,-3.75612536910194,17.4597289124326,"0-36","20km"
"ALL Under 10",-2.74908371419876,-14.3075854978056,8.80941806940809,"0-36","20km"
"ALL",-1.26022797789674,-12.7491302294367,10.2286742736433,"0-12","25km"
"ALL Over 10",-0.00181615337555814,-16.0298918913092,16.0262595845581,"0-12","25km"
"ALL Under 10",-2.59007700883882,-19.0668121770392,13.8866581593616,"0-12","25km"
"ALL",-1.34023126000855,-16.8283879811376,14.1479254611205,"13-24","25km"
"ALL Over 10",1.28142286357013,-21.7340422483201,24.2968879754604,"13-24","25km"
"ALL Under 10",-3.51010053806857,-24.4487585697054,17.4285574935683,"13-24","25km"
"ALL",-2.39765809165284,-19.4108792452273,14.6155630619216,"25-36","25km"
"ALL Over 10",-0.106017044596106,-24.002207478549,23.7901733893567,"25-36","25km"
"ALL Under 10",-4.75336156990415,-28.981256741328,19.4745336015198,"25-36","25km"
"ALL",-5.75776667958011,-34.5772462531551,23.0617128939949,"0-36","25km"
"ALL Over 10",-1.08023809557036,-41.8276045839191,39.6671283927783,"0-36","25km"
"ALL Under 10",-10.4396748443664,-51.2061127960984,30.3267631073657,"0-36","25km"
"ALL",-1.96670788154434,-6.62304348703085,2.68962772394217,"0-12","15km"
"ALL Over 10",-1.72843989757206,-8.08930529940001,4.63242550425588,"0-12","15km"
"ALL Under 10",-2.24180013996885,-9.07654874665482,4.59294846671712,"0-12","15km"
"ALL",-1.69946331642292,-7.57530443312158,4.17637780027575,"13-24","15km"
"ALL Over 10",-1.73265624303278,-9.83529172051031,6.36997923444475,"13-24","15km"
"ALL Under 10",-1.66264654704186,-10.1961303194166,6.87083722533288,"13-24","15km"
"ALL",-1.71051633594754,-7.1326494278323,3.71161675593722,"25-36","15km"
"ALL Over 10",-1.79483967021601,-9.4040735197121,5.81439417928007,"25-36","15km"
"ALL Under 10",-1.62353434320931,-9.35179430337088,6.10472561695226,"25-36","15km"
"ALL",-5.77302987834211,-16.0941007216502,4.54804096496601,"0-36","15km"
"ALL Over 10",-5.8447197211563,-20.0738160000294,8.38437655771679,"0-36","15km"
"ALL Under 10",-5.69343313270862,-20.6866961538436,9.29982988842636,"0-36","15km"
