"","FID","year","fire_id"
"1","CT2",2005,"CA3485211888620030630"
"2","CT2",2003,"CA3490211891020030720"
"3","CT2",2010,"CA3481111887720050903"
"4","CT2",2003,"CA3483911890520100824"
"5","CT3",2011,"CA3507211843420110904"
"6","CT3",2007,"CA3498611843120070624"
"7","CT7",2008,"CA3504112020920030810"
"8","CT7",2003,"CA3507212030220081108"
"9","CT8",2010,"CA3505011989520061011"
"10","CT8",2006,"CA3506111988620100515"
"11","CT9",2010,"CA3521111967620060529"
"12","CT9",2006,"CA3511611978620100515"
"13","CT12",2011,"CA3518011847820030721"
"14","CT12",2011,"CA3511711878320110910"
"15","CT12",2003,"CA3511811837820110910"
"16","CT13",2011,"CA3518011847820030721"
"17","CT13",2012,"CA3534111823820120810"
"18","CT13",2007,"CA3506611841220100717"
"19","CT13",2010,"CA3507211843420110904"
"20","CT13",2012,"CA3509311838420050709"
"21","CT13",2003,"CA3510511831220120717"
"22","CT13",2005,"CA3498611843120070624"
"23","CT17",2015,"CA3537112044520150620"
"24","CT17",2010,"CA3541612046820030720"
"25","CT17",2003,"CA3532912032020100821"
"26","CT19",2011,"CA3550411987920110619"
"27","CT19",2006,"CA3528111983720060711"
"28","CT22",2011,"CA3539511864020110910"
"29","CT22",2003,"CA3531111866520030617"
"30","CT23",2008,"CA3539511864020110910"
"31","CT23",2011,"CA3543011843920030723"
"32","CT23",2011,"CA3549511834020080628"
"33","CT23",2003,"CA3511811837820110910"
"34","CT24",2012,"CA3541611826720060805"
"35","CT24",2006,"CA3534111823820120810"
"36","CT29",2011,"CA3575711999720060604"
"37","CT29",2006,"CA3550411987920110619"
"38","CT29",2007,"CA3562411976820070620"
"39","CT29",2006,"CA3568812008020060803"
"40","CT33",2010,"CA3555411854220100912"
"41","CT33",2014,"CA3571711855520140613"
"42","CT34",2008,"CA3549511834020080628"
"43","CT34",2010,"CA3552511846520120804"
"44","CT34",2012,"CA3555411854220100912"
"45","CT34",2011,"CA3564111839020110527"
"46","CT34",2005,"CA3569311842220050709"
"47","CT37",2007,"CA3575711999720060604"
"48","CT37",2006,"CA3592812029720070810"
"49","CT37",2006,"CA3568812008020060803"
"50","CT41",2011,"CA3575211893120110621"
"51","CT41",2007,"CA3598411885320070603"
"52","CT42",2010,"CA3574911839820070429"
"53","CT42",2007,"CA3587811842820070603"
"54","CT42",2014,"CA3581211845020100726"
"55","CT42",2007,"CA3569311842220050709"
"56","CT42",2005,"CA3571711855520140613"
"57","CT44",2007,"CA3592812029720070810"
"58","CT44",2006,"CA3612012040220060513"
"59","CT44",2006,"CA3615912025120061025"
"60","CT48",2007,"CA3603411887520080826"
"61","CT48",2008,"CA3606111889420060720"
"62","CT48",2006,"CA3598411885320070603"
"63","CT49",2004,"CA3604211878120070706"
"64","CT49",2012,"CA3614911850520120601"
"65","CT49",2007,"CA3617411872220040812"
"66","CT50",2008,"CA3610811818320050724"
"67","CT50",2003,"CA3611811821020030903"
"68","CT50",2006,"CA3613311808420080531"
"69","CT50",2009,"CA3614511817320060726"
"70","CT50",2009,"CA3615311821420090721"
"71","CT50",2005,"CA3616811829320090630"
"72","CT57",2011,"CA3626811851120110708"
"73","CT57",2003,"CA3628511842820070827"
"74","CT57",2006,"CA3632211853320090617"
"75","CT57",2013,"CA3632311850620060709"
"76","CT57",2012,"CA3614911850520120601"
"77","CT57",2003,"CA3620811844420130823"
"78","CT57",2009,"CA3633511841320030824"
"79","CT57",2007,"CA3634711853120030801"
"80","CT58",2008,"CA3613311808420080531"
"81","CT58",2003,"CA3614511817320060726"
"82","CT58",2006,"CA3615311821420090721"
"83","CT58",2009,"CA3621511813520030827"
"84","CT59",2006,"CA3648912045820050604"
"85","CT59",2005,"CA3650112050920060722"
"86","CT60",2006,"CA3648912045820050604"
"87","CT60",2005,"CA3650112050920060722"
"88","CT64",2008,"CA3651711910820050707"
"89","CT64",2005,"CA3660311882920080910"
"90","CT65",2003,"CA3646511862420051006"
"91","CT65",2005,"CA3646711868820030625"
"92","CT65",2003,"CA3648711874620030927"
"93","CT73",2008,"CA3670911869520030728"
"94","CT73",2005,"CA3694111881120080719"
"95","CT73",2010,"CA3676911865720060723"
"96","CT73",2008,"CA3678011865020081017"
"97","CT73",2003,"CA3678311872220100716"
"98","CT73",2006,"CA3680111861920050717"
"99","CT73",2008,"CA3660311882920080910"
"100","CT82",2009,"CA3759312148820090813"
"101","CT82",2006,"CA3766912150220090619"
"102","CT82",2009,"CA3767712151320060711"
