"","HEXID","date","gv","npv","mesma"
"1","CT1","apr_2000",0.0836684920938841,0.595098292229628,0.678766784323512
"18","CT1","aug_2000",0.0827313511373089,0.5949085427406,0.677639893877909
"35","CT1","dec_2000",0.107557268617663,0.41613148408736,0.523688752705023
"52","CT1","feb_2000",0.12789679443296,0.560179616401359,0.688076410834319
"85","CT1","jul_2000",0.0840448202195681,0.587091984177826,0.671136804397395
"102","CT1","jun_2000",0.0793847876809786,0.584512085659425,0.663896873340403
"119","CT1","mar_2000",0.0645767297981029,0.373624517954337,0.43820124775244
"136","CT1","may_2000",0.0777532441890366,0.592351685906909,0.670104930095946
"153","CT1","nov_2000",0.0968098825277558,0.557322581505282,0.654132464033037
"170","CT1","oct_2000",0.0839414865283649,0.629540700047768,0.713482186576133
"187","CT1","sep_2000",0.082918298951749,0.612580748456482,0.695499047408231
"204","CT10","apr_2000",0.0729820959192719,0.428877090661448,0.50185918658072
"221","CT10","aug_2000",0.0559743405731953,0.466246291652228,0.522220632225423
"238","CT10","dec_2000",0.0798375287487129,0.388384302255006,0.468221831003719
"255","CT10","feb_2000",0.0921248326834718,0.407298780530128,0.4994236132136
"288","CT10","jul_2000",0.0567366346716213,0.460088308870463,0.516824943542084
"305","CT10","jun_2000",0.0597251678458143,0.457058148097568,0.516783315943382
"322","CT10","mar_2000",0.0589308121688971,0.341878219885639,0.400809032054537
"339","CT10","may_2000",0.0609335721902809,0.443167001689608,0.504100573879889
"356","CT10","nov_2000",0.0827534502893991,0.455736177354187,0.538489627643587
"373","CT10","oct_2000",0.063321290831969,0.473811622307521,0.53713291313949
"390","CT10","sep_2000",0.0603111764672213,0.468955807948242,0.529266984415463
"407","CT11","apr_2000",0.4186244755509,0.35641536322845,0.77503983877935
"424","CT11","aug_2000",0.246623473204905,0.52705007135348,0.773673544558385
"441","CT11","dec_2000",0.323986454375124,0.368405960405829,0.692392414780952
"458","CT11","feb_2000",0.388470072105675,0.285504033598683,0.673974105704358
"491","CT11","jul_2000",0.262848156509763,0.516050132082543,0.778898288592305
"508","CT11","jun_2000",0.293958996448954,0.500220169513954,0.794179165962907
"525","CT11","mar_2000",0.356764409390033,0.266400655937503,0.623165065327535
"542","CT11","may_2000",0.323597592919535,0.428270310050493,0.751867902970029
"559","CT11","nov_2000",0.258106031034243,0.45841564394321,0.716521674977453
"576","CT11","oct_2000",0.227568628903203,0.522044259752579,0.749612888655782
"593","CT11","sep_2000",0.228307794834593,0.534997728578212,0.763305523412805
"610","CT12","apr_2000",0.227031829546086,0.643901053752226,0.870932883298312
"627","CT12","aug_2000",0.115995555945888,0.740497546132097,0.856493102077984
"644","CT12","dec_2000",0.232095547287615,0.458286154817586,0.6903817021052
"661","CT12","feb_2000",0.373948886133425,0.449194642653429,0.823143528786854
"694","CT12","jul_2000",0.115245625952968,0.725196626441387,0.840442252394354
"711","CT12","jun_2000",0.113350631347416,0.725861089102325,0.839211720449742
"728","CT12","mar_2000",0.374597797898085,0.444685952579093,0.819283750477178
"745","CT12","may_2000",0.120275500196217,0.697828000227175,0.818103500423393
"762","CT12","nov_2000",0.162830265240635,0.679308692516828,0.842138957757463
"779","CT12","oct_2000",0.127490554259116,0.75494992316538,0.882440477424496
"796","CT12","sep_2000",0.119724870034258,0.734455385502341,0.854180255536599
"813","CT13","apr_2000",0.0966257966095083,0.575141917634912,0.67176771424442
"830","CT13","aug_2000",0.0847261822750745,0.553416881366772,0.638143063641847
"847","CT13","dec_2000",0.152240857655544,0.215075439200247,0.367316296855791
"864","CT13","feb_2000",0.245344984288478,0.456624909594875,0.701969893883354
"897","CT13","jul_2000",0.0833790844902941,0.552659484296909,0.636038568787203
"914","CT13","jun_2000",0.0754287889653799,0.563798842133507,0.639227631098886
"931","CT13","mar_2000",0.1349134636746,0.463162563918451,0.59807602759305
"948","CT13","may_2000",0.0765615554009452,0.581290141648862,0.657851697049807
"965","CT13","nov_2000",0.100652767294905,0.387489218439076,0.488141985733981
"982","CT13","oct_2000",0.0851584020862083,0.568936424070731,0.654094826156939
"999","CT13","sep_2000",0.0825550797076932,0.553614629521584,0.636169709229277
"1016","CT14","apr_2000",0.202988670335854,0.398156260776914,0.601144931112769
"1033","CT14","aug_2000",0.247127372146553,0.394493553358862,0.641620925505416
"1050","CT14","dec_2000",0.163094646749009,0.193957151514111,0.357051798263121
"1067","CT14","feb_2000",0.214089058376096,0.359073526549637,0.573162584925733
"1100","CT14","jul_2000",0.249252583823615,0.397011669192679,0.646264253016294
"1117","CT14","jun_2000",0.214995127335966,0.407818346000947,0.622813473336913
"1134","CT14","mar_2000",0.17560566999368,0.321442061481138,0.497047731474819
"1151","CT14","may_2000",0.198556450229101,0.412241125134934,0.610797575364034
"1168","CT14","nov_2000",0.122647704621021,0.143988696150788,0.266636400771809
"1185","CT14","oct_2000",0.171416875227078,0.445377878033359,0.616794753260438
"1202","CT14","sep_2000",0.193824979182285,0.422801416497539,0.616626395679823
"1219","CT15","apr_2000",0.373297857302415,0.43306825285502,0.806366110157436
"1236","CT15","aug_2000",0.195371557395804,0.611638388408448,0.807009945804252
"1253","CT15","dec_2000",0.360089864138101,0.258076383807646,0.618166247945747
"1270","CT15","feb_2000",0.543002162140035,0.22121788668627,0.764220048826305
"1303","CT15","jul_2000",0.202758374899131,0.601660990844133,0.804419365743264
"1320","CT15","jun_2000",0.219158954866058,0.592900891164585,0.812059846030644
"1337","CT15","mar_2000",0.290784458258383,0.124163778396567,0.414948236654951
"1354","CT15","may_2000",0.245091061615053,0.509660399959291,0.754751461574344
"1371","CT15","nov_2000",0.325439203126394,0.461781946289223,0.787221149415617
"1388","CT15","oct_2000",0.181341074783405,0.601175373830734,0.782516448614139
"1405","CT15","sep_2000",0.191346073501987,0.624249862867234,0.815595936369221
"1422","CT16","apr_2000",0.249679029934398,0.417641909297439,0.667320939231838
"1439","CT16","aug_2000",0.208431281884747,0.483324883422701,0.691756165307448
"1456","CT16","dec_2000",0.102084421796573,0.221891131524383,0.323975553320956
"1473","CT16","feb_2000",0.182225414967786,0.303835213011667,0.486060627979454
"1506","CT16","jul_2000",0.224842526710529,0.464381167403496,0.689223694114025
"1523","CT16","jun_2000",0.240601731322949,0.451578961697471,0.69218069302042
"1540","CT16","mar_2000",0.141697202845962,0.218349345412749,0.36004654825871
"1557","CT16","may_2000",0.238695827292787,0.434552702419872,0.673248529712659
"1574","CT16","nov_2000",0.227804808926792,0.402614215134374,0.630419024061166
"1591","CT16","oct_2000",0.215977057673464,0.478494991347827,0.694472049021291
"1608","CT16","sep_2000",0.20990140447168,0.476867650054873,0.686769054526553
"1625","CT17","apr_2000",0.0440454522576132,0.397855138898134,0.441900591155747
"1642","CT17","aug_2000",0.0381667359291411,0.41438170771427,0.452548443643411
