"","X","HEXID","date","NDaysAbove10ms"
"1",1,"CT1","jan_2000",5
"2",2,"CT2","jan_2000",2
"3",3,"CT3","jan_2000",0
"4",4,"CT4","jan_2000",0
"5",5,"CT5","jan_2000",0
"6",6,"CT6","jan_2000",NA
"7",7,"CT7","jan_2000",0
"8",8,"CT8","jan_2000",0
"9",9,"CT9","jan_2000",0
"10",10,"CT10","jan_2000",0
"11",11,"CT11","jan_2000",0
"12",12,"CT12","jan_2000",0
"13",13,"CT13","jan_2000",NA
"14",14,"CT14","jan_2000",0
"15",15,"CT15","jan_2000",0
"16",16,"CT16","jan_2000",0
"17",17,"CT17","jan_2000",0
"18",18,"CT18","jan_2000",0
"19",19,"CT19","jan_2000",0
"20",20,"CT20","jan_2000",0
"21",21,"CT21","jan_2000",0
"22",22,"CT22","jan_2000",0
"23",23,"CT23","jan_2000",0
"24",24,"CT24","jan_2000",0
"25",25,"CT25","jan_2000",0
"26",26,"CT26","jan_2000",0
"27",27,"CT27","jan_2000",0
"28",28,"CT28","jan_2000",0
"29",29,"CT29","jan_2000",0
"30",30,"CT30","jan_2000",0
"31",31,"CT31","jan_2000",0
"32",32,"CT32","jan_2000",0
"33",33,"CT33","jan_2000",0
"34",34,"CT34","jan_2000",0
"35",35,"CT35","jan_2000",0
"36",36,"CT36","jan_2000",0
"37",37,"CT37","jan_2000",0
"38",38,"CT38","jan_2000",0
"39",39,"CT39","jan_2000",0
"40",40,"CT40","jan_2000",2
"41",41,"CT41","jan_2000",0
"42",42,"CT42","jan_2000",0
"43",43,"CT43","jan_2000",0
"44",44,"CT44","jan_2000",0
"45",45,"CT45","jan_2000",0
"46",46,"CT46","jan_2000",0
"47",47,"CT47","jan_2000",1
"48",48,"CT48","jan_2000",0
"49",49,"CT49","jan_2000",0
"50",50,"CT50","jan_2000",0
"51",51,"CT51","jan_2000",1
"52",52,"CT52","jan_2000",0
"53",53,"CT53","jan_2000",3
"54",54,"CT54","jan_2000",1
"55",55,"CT55","jan_2000",0
"56",56,"CT56","jan_2000",0
"57",57,"CT57","jan_2000",5
"58",58,"CT58","jan_2000",0
"59",59,"CT59","jan_2000",0
"60",60,"CT60","jan_2000",2
"61",61,"CT61","jan_2000",0
"62",62,"CT1","feb_2000",1
"63",63,"CT2","feb_2000",1
"64",64,"CT3","feb_2000",0
"65",65,"CT4","feb_2000",0
"66",66,"CT5","feb_2000",1
"67",67,"CT6","feb_2000",NA
"68",68,"CT7","feb_2000",0
"69",69,"CT8","feb_2000",0
"70",70,"CT9","feb_2000",1
"71",71,"CT10","feb_2000",1
"72",72,"CT11","feb_2000",0
"73",73,"CT12","feb_2000",0
"74",74,"CT13","feb_2000",NA
"75",75,"CT14","feb_2000",0
"76",76,"CT15","feb_2000",0
"77",77,"CT16","feb_2000",1
"78",78,"CT17","feb_2000",1
"79",79,"CT18","feb_2000",1
"80",80,"CT19","feb_2000",1
"81",81,"CT20","feb_2000",0
"82",82,"CT21","feb_2000",0
"83",83,"CT22","feb_2000",0
"84",84,"CT23","feb_2000",0
"85",85,"CT24","feb_2000",0
"86",86,"CT25","feb_2000",1
"87",87,"CT26","feb_2000",0
"88",88,"CT27","feb_2000",0
"89",89,"CT28","feb_2000",1
"90",90,"CT29","feb_2000",0
"91",91,"CT30","feb_2000",0
"92",92,"CT31","feb_2000",0
"93",93,"CT32","feb_2000",0
"94",94,"CT33","feb_2000",0
"95",95,"CT34","feb_2000",2
"96",96,"CT35","feb_2000",0
"97",97,"CT36","feb_2000",0
"98",98,"CT37","feb_2000",0
"99",99,"CT38","feb_2000",0
"100",100,"CT39","feb_2000",0
"101",101,"CT40","feb_2000",3
"102",102,"CT41","feb_2000",1
"103",103,"CT42","feb_2000",0
"104",104,"CT43","feb_2000",0
"105",105,"CT44","feb_2000",0
"106",106,"CT45","feb_2000",0
"107",107,"CT46","feb_2000",0
"108",108,"CT47","feb_2000",2
"109",109,"CT48","feb_2000",0
"110",110,"CT49","feb_2000",0
"111",111,"CT50","feb_2000",0
"112",112,"CT51","feb_2000",2
"113",113,"CT52","feb_2000",0
"114",114,"CT53","feb_2000",2
"115",115,"CT54","feb_2000",2
"116",116,"CT55","feb_2000",0
"117",117,"CT56","feb_2000",1
"118",118,"CT57","feb_2000",2
"119",119,"CT58","feb_2000",0
"120",120,"CT59","feb_2000",0
"121",121,"CT60","feb_2000",5
"122",122,"CT61","feb_2000",0
"123",123,"CT1","mar_2000",12
"124",124,"CT2","mar_2000",0
"125",125,"CT3","mar_2000",0
"126",126,"CT4","mar_2000",0
"127",127,"CT5","mar_2000",3
"128",128,"CT6","mar_2000",NA
"129",129,"CT7","mar_2000",0
"130",130,"CT8","mar_2000",0
"131",131,"CT9","mar_2000",0
"132",132,"CT10","mar_2000",0
"133",133,"CT11","mar_2000",0
"134",134,"CT12","mar_2000",0
"135",135,"CT13","mar_2000",NA
"136",136,"CT14","mar_2000",0
"137",137,"CT15","mar_2000",0
"138",138,"CT16","mar_2000",0
"139",139,"CT17","mar_2000",0
"140",140,"CT18","mar_2000",0
"141",141,"CT19","mar_2000",0
"142",142,"CT20","mar_2000",0
"143",143,"CT21","mar_2000",0
"144",144,"CT22","mar_2000",0
"145",145,"CT23","mar_2000",0
"146",146,"CT24","mar_2000",0
"147",147,"CT25","mar_2000",0
"148",148,"CT26","mar_2000",0
"149",149,"CT27","mar_2000",0
"150",150,"CT28","mar_2000",0
"151",151,"CT29","mar_2000",0
"152",152,"CT30","mar_2000",0
"153",153,"CT31","mar_2000",0
"154",154,"CT32","mar_2000",0
"155",155,"CT33","mar_2000",0
"156",156,"CT34","mar_2000",0
"157",157,"CT35","mar_2000",0
"158",158,"CT36","mar_2000",0
"159",159,"CT37","mar_2000",0
"160",160,"CT38","mar_2000",0
"161",161,"CT39","mar_2000",0
"162",162,"CT40","mar_2000",1
"163",163,"CT41","mar_2000",0
"164",164,"CT42","mar_2000",1
"165",165,"CT43","mar_2000",1
"166",166,"CT44","mar_2000",0
"167",167,"CT45","mar_2000",0
"168",168,"CT46","mar_2000",0
"169",169,"CT47","mar_2000",1
"170",170,"CT48","mar_2000",1
"171",171,"CT49","mar_2000",0
"172",172,"CT50","mar_2000",0
"173",173,"CT51","mar_2000",0
"174",174,"CT52","mar_2000",1
"175",175,"CT53","mar_2000",1
"176",176,"CT54","mar_2000",0
"177",177,"CT55","mar_2000",1
"178",178,"CT56","mar_2000",1
"179",179,"CT57","mar_2000",2
"180",180,"CT58","mar_2000",0
"181",181,"CT59","mar_2000",0
"182",182,"CT60","mar_2000",0
"183",183,"CT61","mar_2000",0
"184",184,"CT1","apr_2000",10
"185",185,"CT2","apr_2000",0
"186",186,"CT3","apr_2000",0
"187",187,"CT4","apr_2000",0
"188",188,"CT5","apr_2000",1
"189",189,"CT6","apr_2000",NA
"190",190,"CT7","apr_2000",2
"191",191,"CT8","apr_2000",0
"192",192,"CT9","apr_2000",0
"193",193,"CT10","apr_2000",0
"194",194,"CT11","apr_2000",1
"195",195,"CT12","apr_2000",0
"196",196,"CT13","apr_2000",NA
"197",197,"CT14","apr_2000",0
"198",198,"CT15","apr_2000",0
"199",199,"CT16","apr_2000",0
"200",200,"CT17","apr_2000",0
"201",201,"CT18","apr_2000",1
"202",202,"CT19","apr_2000",0
"203",203,"CT20","apr_2000",0
"204",204,"CT21","apr_2000",0
"205",205,"CT22","apr_2000",0
"206",206,"CT23","apr_2000",0
"207",207,"CT24","apr_2000",0
"208",208,"CT25","apr_2000",0
"209",209,"CT26","apr_2000",0
"210",210,"CT27","apr_2000",0
"211",211,"CT28","apr_2000",0
"212",212,"CT29","apr_2000",0
"213",213,"CT30","apr_2000",0
"214",214,"CT31","apr_2000",0
"215",215,"CT32","apr_2000",0
"216",216,"CT33","apr_2000",0
"217",217,"CT34","apr_2000",0
"218",218,"CT35","apr_2000",0
"219",219,"CT36","apr_2000",0
"220",220,"CT37","apr_2000",0
"221",221,"CT38","apr_2000",0
"222",222,"CT39","apr_2000",0
"223",223,"CT40","apr_2000",0
"224",224,"CT41","apr_2000",0
"225",225,"CT42","apr_2000",1
"226",226,"CT43","apr_2000",1
"227",227,"CT44","apr_2000",0
"228",228,"CT45","apr_2000",0
"229",229,"CT46","apr_2000",0
"230",230,"CT47","apr_2000",0
"231",231,"CT48","apr_2000",0
"232",232,"CT49","apr_2000",0
"233",233,"CT50","apr_2000",0
"234",234,"CT51","apr_2000",0
"235",235,"CT52","apr_2000",0
"236",236,"CT53","apr_2000",0
"237",237,"CT54","apr_2000",0
"238",238,"CT55","apr_2000",0
"239",239,"CT56","apr_2000",0
"240",240,"CT57","apr_2000",0
"241",241,"CT58","apr_2000",0
"242",242,"CT59","apr_2000",0
"243",243,"CT60","apr_2000",0
"244",244,"CT61","apr_2000",0
"245",245,"CT1","may_2000",10
"246",246,"CT2","may_2000",1
"247",247,"CT3","may_2000",0
"248",248,"CT4","may_2000",0
"249",249,"CT5","may_2000",0
"250",250,"CT6","may_2000",NA
"251",251,"CT7","may_2000",1
"252",252,"CT8","may_2000",0
"253",253,"CT9","may_2000",0
"254",254,"CT10","may_2000",1
"255",255,"CT11","may_2000",3
"256",256,"CT12","may_2000",0
"257",257,"CT13","may_2000",NA
"258",258,"CT14","may_2000",0
"259",259,"CT15","may_2000",0
"260",260,"CT16","may_2000",0
"261",261,"CT17","may_2000",0
"262",262,"CT18","may_2000",3
