"","HEXID","date","NDaysAbove10ms"
"1","CT1","jan_2000",21
"2","CT2","jan_2000",14
"3","CT3","jan_2000",13
"4","CT4","jan_2000",16
"5","CT5","jan_2000",19
"6","CT6","jan_2000",NA
"7","CT7","jan_2000",13
"8","CT8","jan_2000",8
"9","CT9","jan_2000",5
"10","CT10","jan_2000",12
"11","CT11","jan_2000",19
"12","CT12","jan_2000",6
"13","CT13","jan_2000",NA
"14","CT14","jan_2000",6
"15","CT15","jan_2000",2
"16","CT16","jan_2000",2
"17","CT17","jan_2000",2
"18","CT18","jan_2000",19
"19","CT19","jan_2000",13
"20","CT20","jan_2000",7
"21","CT21","jan_2000",10
"22","CT22","jan_2000",5
"23","CT23","jan_2000",0
"24","CT24","jan_2000",0
"25","CT25","jan_2000",1
"26","CT26","jan_2000",16
"27","CT27","jan_2000",17
"28","CT28","jan_2000",15
"29","CT29","jan_2000",3
"30","CT30","jan_2000",0
"31","CT31","jan_2000",0
"32","CT32","jan_2000",1
"33","CT33","jan_2000",1
"34","CT34","jan_2000",15
"35","CT35","jan_2000",13
"36","CT36","jan_2000",3
"37","CT37","jan_2000",0
"38","CT38","jan_2000",0
"39","CT39","jan_2000",1
"40","CT40","jan_2000",21
"41","CT41","jan_2000",9
"42","CT42","jan_2000",3
"43","CT43","jan_2000",3
"44","CT44","jan_2000",1
"45","CT45","jan_2000",0
"46","CT46","jan_2000",11
"47","CT47","jan_2000",16
"48","CT48","jan_2000",6
"49","CT49","jan_2000",8
"50","CT50","jan_2000",6
"51","CT51","jan_2000",20
"52","CT52","jan_2000",9
"53","CT53","jan_2000",22
"54","CT54","jan_2000",13
"55","CT55","jan_2000",7
"56","CT56","jan_2000",7
"57","CT57","jan_2000",23
"58","CT58","jan_2000",4
"59","CT59","jan_2000",5
"60","CT60","jan_2000",12
"61","CT61","jan_2000",6
"62","FR81","jan_2000",14
"63","FR83","jan_2000",11
"64","FR75","jan_2000",13
"65","FR79","jan_2000",8
"66","FR84","jan_2000",14
"67","FR5","jan_2000",19
"68","FR54","jan_2000",16
"69","FR36","jan_2000",8
"70","FR77","jan_2000",8
"71","FR78","jan_2000",19
"72","FR32","jan_2000",19
"73","FR31","jan_2000",16
"74","FR67","jan_2000",19
"75","FR80","jan_2000",19
"76","FR37","jan_2000",8
"77","FR3","jan_2000",5
"78","FR4","jan_2000",19
"79","FR49","jan_2000",19
"80","FR53","jan_2000",8
"81","FR63","jan_2000",4
"82","FR68","jan_2000",8
"83","FR71","jan_2000",9
"84","FR25","jan_2000",19
"85","FR15","jan_2000",7
"86","FR47","jan_2000",17
"87","FR27","jan_2000",6
"88","FR43","jan_2000",15
"89","FR17","jan_2000",15
"90","FR18","jan_2000",1
"91","FR55","jan_2000",16
"92","FR33","jan_2000",3
"93","FR19","jan_2000",16
"94","FR34","jan_2000",0
"95","FR64","jan_2000",16
"96","FR69","jan_2000",0
"97","FR57","jan_2000",18
"98","FR74","jan_2000",16
"99","FR40","jan_2000",18
"100","FR41","jan_2000",1
"101","FR42","jan_2000",0
"102","FR28","jan_2000",10
"103","FR58","jan_2000",15
"104","FR21","jan_2000",18
"105","FR72","jan_2000",1
"106","FR30","jan_2000",1
"107","FR44","jan_2000",18
"108","FR16","jan_2000",0
"109","FR56","jan_2000",1
"110","FR46","jan_2000",1
"111","FR50","jan_2000",3
"112","FR51","jan_2000",0
"113","FR52","jan_2000",15
"114","FR59","jan_2000",15
"115","FR60","jan_2000",3
"116","FR20","jan_2000",14
"117","FR61","jan_2000",13
"118","FR62","jan_2000",16
"119","FR35","jan_2000",14
"120","FR65","jan_2000",0
"121","FR66","jan_2000",14
"122","FR29","jan_2000",6
"123","FR70","jan_2000",15
"124","FR2","jan_2000",12
"125","FR14","jan_2000",3
"126","FR1","jan_2000",19
"127","FR39","jan_2000",18
"128","FR45","jan_2000",20
"129","FR48","jan_2000",20
"130","FR24","jan_2000",19
"131","FR85","jan_2000",21
"132","FR73","jan_2000",21
"133","FR22","jan_2000",21
"134","FR88","jan_2000",21
"135","FR76","jan_2000",2
"136","FR10","jan_2000",3
"137","FR38","jan_2000",0
"138","FR90","jan_2000",17
"139","FR6","jan_2000",21
"140","FR87","jan_2000",17
"141","FR26","jan_2000",16
"142","FR8","jan_2000",15
"143","FR82","jan_2000",0
"144","FR9","jan_2000",14
"145","FR89","jan_2000",3
"146","FR23","jan_2000",2
"147","FR86","jan_2000",8
"148","FR11","jan_2000",18
"149","FR7","jan_2000",9
"150","FR12","jan_2000",9
"151","FR13","jan_2000",9
"152","FR91","jan_2000",9
"153","FR92","jan_2000",16
"154","CT1","feb_2000",17
"155","CT2","feb_2000",16
"156","CT3","feb_2000",17
"157","CT4","feb_2000",19
"158","CT5","feb_2000",20
"159","CT6","feb_2000",NA
"160","CT7","feb_2000",13
"161","CT8","feb_2000",15
"162","CT9","feb_2000",12
"163","CT10","feb_2000",18
"164","CT11","feb_2000",21
"165","CT12","feb_2000",10
"166","CT13","feb_2000",NA
"167","CT14","feb_2000",8
"168","CT15","feb_2000",9
"169","CT16","feb_2000",6
"170","CT17","feb_2000",6
"171","CT18","feb_2000",21
"172","CT19","feb_2000",18
"173","CT20","feb_2000",11
"174","CT21","feb_2000",10
"175","CT22","feb_2000",9
"176","CT23","feb_2000",3
"177","CT24","feb_2000",3
"178","CT25","feb_2000",6
"179","CT26","feb_2000",20
"180","CT27","feb_2000",21
"181","CT28","feb_2000",21
"182","CT29","feb_2000",12
"183","CT30","feb_2000",5
"184","CT31","feb_2000",4
"185","CT32","feb_2000",1
"186","CT33","feb_2000",2
"187","CT34","feb_2000",20
"188","CT35","feb_2000",21
"189","CT36","feb_2000",11
"190","CT37","feb_2000",4
"191","CT38","feb_2000",3
"192","CT39","feb_2000",4
"193","CT40","feb_2000",20
"194","CT41","feb_2000",12
"195","CT42","feb_2000",10
"196","CT43","feb_2000",10
"197","CT44","feb_2000",7
"198","CT45","feb_2000",6
"199","CT46","feb_2000",5
"200","CT47","feb_2000",14
"201","CT48","feb_2000",12
"202","CT49","feb_2000",11
"203","CT50","feb_2000",9
"204","CT51","feb_2000",13
"205","CT52","feb_2000",15
"206","CT53","feb_2000",17
"207","CT54","feb_2000",13
"208","CT55","feb_2000",13
"209","CT56","feb_2000",13
"210","CT57","feb_2000",17
"211","CT58","feb_2000",9
"212","CT59","feb_2000",9
"213","CT60","feb_2000",16
"214","CT61","feb_2000",11
"215","FR81","feb_2000",17
"216","FR83","feb_2000",16
"217","FR75","feb_2000",17
"218","FR79","feb_2000",16
"219","FR84","feb_2000",15
"220","FR5","feb_2000",21
"221","FR54","feb_2000",14
"222","FR36","feb_2000",14
"223","FR77","feb_2000",13
"224","FR78","feb_2000",21
"225","FR32","feb_2000",21
"226","FR31","feb_2000",16
"227","FR67","feb_2000",21
"228","FR80","feb_2000",21
"229","FR37","feb_2000",13
"230","FR3","feb_2000",7
"231","FR4","feb_2000",21
"232","FR49","feb_2000",21
"233","FR53","feb_2000",13
"234","FR63","feb_2000",10
"235","FR68","feb_2000",10
"236","FR71","feb_2000",9
"237","FR25","feb_2000",21
"238","FR15","feb_2000",9
"239","FR47","feb_2000",21
"240","FR27","feb_2000",8
"241","FR43","feb_2000",19
"242","FR17","feb_2000",19
"243","FR18","feb_2000",5
"244","FR55","feb_2000",20
"245","FR33","feb_2000",6
"246","FR19","feb_2000",20
"247","FR34","feb_2000",2
"248","FR64","feb_2000",20
"249","FR69","feb_2000",3
"250","FR57","feb_2000",20
"251","FR74","feb_2000",21
"252","FR40","feb_2000",20
"253","FR41","feb_2000",4
"254","FR42","feb_2000",2
"255","FR28","feb_2000",10
"256","FR58","feb_2000",21
"257","FR21","feb_2000",20
"258","FR72","feb_2000",3
"259","FR30","feb_2000",1
"260","FR44","feb_2000",20
"261","FR16","feb_2000",4
"262","FR56","feb_2000",2
"263","FR46","feb_2000",1
"264","FR50","feb_2000",8
"265","FR51","feb_2000",1
"266","FR52","feb_2000",19
"267","FR59","feb_2000",19
"268","FR60","feb_2000",11
"269","FR20","feb_2000",18
"270","FR61","feb_2000",18
"271","FR62","feb_2000",16
"272","FR35","feb_2000",18
"273","FR65","feb_2000",5
"274","FR66","feb_2000",17
"275","FR29","feb_2000",10
"276","FR70","feb_2000",15
"277","FR2","feb_2000",17
"278","FR14","feb_2000",12
"279","FR1","feb_2000",17
"280","FR39","feb_2000",15
"281","FR45","feb_2000",20
"282","FR48","feb_2000",20
"283","FR24","feb_2000",17
"284","FR85","feb_2000",20
"285","FR73","feb_2000",19
"286","FR22","feb_2000",19
"287","FR88","feb_2000",18
"288","FR76","feb_2000",9
"289","FR10","feb_2000",9
"290","FR38","feb_2000",4
"291","FR90","feb_2000",12
"292","FR6","feb_2000",17
"293","FR87","feb_2000",14
"294","FR26","feb_2000",14
"295","FR8","feb_2000",6
"296","FR82","feb_2000",7
"297","FR9","feb_2000",5
"298","FR89","feb_2000",10
