"","HEXID","date","NDaysAbove5ms"
"247","CT1","apr_2000",11
"2215","CT1","apr_2001",13
"5167","CT1","apr_2002",13
"9103","CT1","apr_2003",13
"14023","CT1","apr_2004",7
"19927","CT1","apr_2005",15
"26815","CT1","apr_2006",10
"34687","CT1","apr_2007",14
"43543","CT1","apr_2008",18
"53383","CT1","apr_2009",13
"64207","CT1","apr_2010",15
"76015","CT1","apr_2011",15
"88807","CT1","apr_2012",14
"102583","CT1","apr_2013",13
"117343","CT1","apr_2014",15
"133087","CT1","apr_2015",14
"149815","CT1","apr_2016",14
"167527","CT1","apr_2017",16
"186223","CT1","apr_2018",13
"575","CT1","aug_2000",2
"2543","CT1","aug_2001",2
"5495","CT1","aug_2002",1
"9431","CT1","aug_2003",1
"14351","CT1","aug_2004",0
"20255","CT1","aug_2005",2
"27143","CT1","aug_2006",0
"35015","CT1","aug_2007",1
"43871","CT1","aug_2008",3
"53711","CT1","aug_2009",2
"64535","CT1","aug_2010",2
"76343","CT1","aug_2011",0
"89135","CT1","aug_2012",0
"102911","CT1","aug_2013",0
"117671","CT1","aug_2014",1
"133415","CT1","aug_2015",1
"150143","CT1","aug_2016",0
"167855","CT1","aug_2017",1
"186551","CT1","aug_2018",2
"903","CT1","dec_2000",11
"2871","CT1","dec_2001",18
"5823","CT1","dec_2002",13
"9759","CT1","dec_2003",16
"14679","CT1","dec_2004",17
"20583","CT1","dec_2005",16
"27471","CT1","dec_2006",18
"35343","CT1","dec_2007",18
"44199","CT1","dec_2008",15
"54039","CT1","dec_2009",10
"64863","CT1","dec_2010",16
"76671","CT1","dec_2011",14
"89463","CT1","dec_2012",13
"103239","CT1","dec_2013",13
"117999","CT1","dec_2014",14
"133743","CT1","dec_2015",16
"150471","CT1","dec_2016",13
"168183","CT1","dec_2017",15
"186879","CT1","dec_2018",14
"83","CT1","feb_2000",15
"2051","CT1","feb_2001",13
"5003","CT1","feb_2002",12
"8939","CT1","feb_2003",9
"13859","CT1","feb_2004",15
"19763","CT1","feb_2005",11
"26651","CT1","feb_2006",14
"34523","CT1","feb_2007",15
"43379","CT1","feb_2008",14
"53219","CT1","feb_2009",15
"64043","CT1","feb_2010",11
"75851","CT1","feb_2011",13
"88643","CT1","feb_2012",13
"102419","CT1","feb_2013",11
"117179","CT1","feb_2014",10
"132923","CT1","feb_2015",9
"149651","CT1","feb_2016",17
"167363","CT1","feb_2017",15
"186059","CT1","feb_2018",9
"1","CT1","jan_2000",12
"1969","CT1","jan_2001",12
"4921","CT1","jan_2002",7
"8857","CT1","jan_2003",10
"13777","CT1","jan_2004",13
"19681","CT1","jan_2005",12
"26569","CT1","jan_2006",22
"34441","CT1","jan_2007",13
"43297","CT1","jan_2008",23
"53137","CT1","jan_2009",21
"63961","CT1","jan_2010",10
