"","HEXID","year","population"
"1","CT1",2000,78386.6186908848
"2","CT10",2000,27244.1122077447
"3","CT11",2000,29017.3198722983
"4","CT12",2000,2783.97107161705
"5","CT13",2000,119563.909265022
"6","CT14",2000,1991.18126063582
"7","CT15",2000,710.145761734457
"8","CT16",2000,115300.857335633
"9","CT17",2000,350812.770643436
"10","CT18",2000,1411.5395190737
"11","CT19",2000,2302.32490414244
"12","CT2",2000,518.213218203582
"13","CT20",2000,229.589534271378
"14","CT21",2000,10030.4572855164
"15","CT22",2000,44742.7963544223
"16","CT23",2000,332.839797952662
"17","CT24",2000,12166.6901958873
"18","CT25",2000,61348.2603847806
"19","CT26",2000,10108.8424293222
"20","CT27",2000,2294.28031248539
"21","CT28",2000,27893.2076969126
"22","CT29",2000,1376.43298381763
"23","CT3",2000,5025.90973982326
"24","CT30",2000,29487.4118794739
"25","CT31",2000,8011.59964056521
"26","CT32",2000,99804.7817735422
"27","CT33",2000,71948.3671082347
"28","CT34",2000,31.8203196955597
"29","CT35",2000,59.812387214409
"30","CT36",2000,866.717138416901
"31","CT37",2000,19847.2845327015
"32","CT38",2000,175639.372911697
"33","CT39",2000,140602.357817702
"34","CT4",2000,149932.196245005
"35","CT40",2000,301.70883907079
"36","CT41",2000,861.170905387079
"37","CT42",2000,758.228653290117
"38","CT43",2000,30174.0928901923
"39","CT44",2000,613365.833768418
"40","CT45",2000,94339.634284832
"41","CT46",2000,1073.65013224591
"42","CT47",2000,661.315960874417
"43","CT48",2000,15751.0478491683
"44","CT49",2000,20997.8800457711
"45","CT5",2000,217163.891127947
"46","CT50",2000,679.738750554794
"47","CT51",2000,107.665206722423
"48","CT52",2000,23522.091139431
"49","CT53",2000,436.053505298297
"50","CT54",2000,1828.00819192501
"51","CT55",2000,192869.319873948
"52","CT56",2000,407980.70637947
"53","CT57",2000,8262.41735847051
"54","CT58",2000,357527.660416708
"55","CT59",2000,390541.698350256
"56","CT6",2000,198525.367134587
"57","CT60",2000,21198.7064339975
"58","CT61",2000,82291.1650713499
"59","CT7",2000,330.776244982725
"60","CT8",2000,16398.6295257874
"61","CT9",2000,4163.765874141
"62","FR1",2000,408.369433729382
"63","FR10",2000,1398.36296504708
"64","FR11",2000,1779.86457610784
"65","FR12",2000,121500.617504315
"66","FR13",2000,159410.083177828
"67","FR14",2000,11235.8363840409
"68","FR15",2000,72754.1797060109
"69","FR16",2000,20632.5189279104
"70","FR17",2000,8881.59693924706
"71","FR18",2000,714.78565904617
"72","FR19",2000,10038.2725569295
"73","FR2",2000,330.221066174763
"74","FR20",2000,281.132354053818
"75","FR21",2000,9767.44004741205
"76","FR22",2000,1968.61156970155
"77","FR23",2000,230.534146485683
"78","FR24",2000,4.7768170671671
"79","FR25",2000,1476.94987403267
"80","FR26",2000,55.0145454077594
"81","FR27",2000,67987.9547711201
"82","FR28",2000,29940.9870439605
"83","FR29",2000,5568.08750583735
"84","FR3",2000,44189.8773057669
"85","FR30",2000,21722.6345764099
"86","FR31",2000,116293.521589327
"87","FR32",2000,28402.5293921056
"88","FR33",2000,114853.134159411
"89","FR34",2000,2373.62521242386
"90","FR35",2000,233.80661999915
"91","FR36",2000,629.222412858576
"92","FR37",2000,974.626185915602
"93","FR38",2000,53195.5687440782
"94","FR39",2000,114.127043508501
"95","FR4",2000,26718.109991604
"96","FR40",2000,11622.0465661593
"97","FR41",2000,4492.56055223832
"98","FR42",2000,323.384398967683
"99","FR43",2000,6989.88303272584
"100","FR44",2000,3528.98136509196
"101","FR45",2000,357.68532572269
"102","FR46",2000,75500.2167829111
"103","FR47",2000,1187.08774854943
"104","FR48",2000,188.002503154048
"105","FR49",2000,28210.9590879242
"106","FR5",2000,28093.330827314
"107","FR50",2000,32263.3115927278
"108","FR51",2000,77570.288413537
"109","FR52",2000,97.3530530397978
"110","FR53",2000,12807.1366412462
"111","FR54",2000,85187.6458493264
"112","FR55",2000,10912.3023042094
"113","FR56",2000,68360.5765850611
"114","FR57",2000,11731.3364355772
"115","FR58",2000,2674.67920251712
"116","FR59",2000,76.5366142060941
"117","FR6",2000,302.025724602917
"118","FR60",2000,16361.9139259556
"119","FR61",2000,266.747133433646
"120","FR62",2000,301.859495462366
"121","FR63",2000,733.928529571803
"122","FR64",2000,11749.5310982479
"123","FR65",2000,30401.8666164535
"124","FR66",2000,21.4026921193187
"125","FR67",2000,27851.3077938101
"126","FR68",2000,41462.6840707946
"127","FR69",2000,345.952584833341
"128","FR7",2000,99656.3820218665
"129","FR70",2000,185.72725170973
"130","FR71",2000,1961.4286910793
"131","FR72",2000,27142.1058716299
"132","FR73",2000,739.894194239157
"133","FR74",2000,3569.89831400063
"134","FR75",2000,5662.72043740507
"135","FR76",2000,1728.34971657081
"136","FR77",2000,635.303009553622
"137","FR78",2000,29251.5339092842
"138","FR79",2000,6522.27392592622
"139","FR8",2000,350.274232851154
"140","FR80",2000,20383.3142267319
"141","FR81",2000,5520.79650207897
"142","FR82",2000,68076.8755664132
"143","FR83",2000,5967.35904212415
"144","FR84",2000,4277.24188691304
"145","FR85",2000,190.628957361682
"146","FR86",2000,8340.93166999128
"147","FR87",2000,74.0754595985488
"148","FR88",2000,2003.51438998321
"149","FR89",2000,2605.6857758423
"150","FR9",2000,49.1054973142593
"151","FR90",2000,2577.63566127428
"152","FR91",2000,48614.7643704354
"153","FR92",2000,11256.2525839702
"154","CT1",2001,78862.3714639111
"155","CT10",2001,27932.9752029333
"156","CT11",2001,29751.0714938202
"157","CT12",2001,2854.08842394068
"158","CT13",2001,120648.524178753
"159","CT14",2001,2009.24411110905
"160","CT15",2001,721.843853509976
"161","CT16",2001,118218.255358275
"162","CT17",2001,359689.205143248
"163","CT18",2001,1447.25497573416
"164","CT19",2001,2360.57944071844
"165","CT2",2001,523.46310964609
"166","CT20",2001,234.655531975575
"167","CT21",2001,10117.594326261
"168","CT22",2001,45145.8545951531
"169","CT23",2001,339.956824409904
"170","CT24",2001,12466.8498857363
"171","CT25",2001,62876.0786393409
"172","CT26",2001,10362.1838971638
"173","CT27",2001,2352.08918045817
"174","CT28",2001,28594.6628138846
"175","CT29",2001,1381.27790612334
"176","CT3",2001,5136.50835138748
"177","CT30",2001,29974.2797321574
"178","CT31",2001,8150.87751460815
"179","CT32",2001,101688.459381556
"180","CT33",2001,73331.8862913696
"181","CT34",2001,32.4322031505712
"182","CT35",2001,60.3203485850272
"183","CT36",2001,879.895330731998
"184","CT37",2001,20172.072702572
"185","CT38",2001,178701.236507814
"186","CT39",2001,143306.047311522
"187","CT4",2001,150417.243905479
"188","CT40",2001,307.510498415604
"189","CT41",2001,863.98255281533
"190","CT42",2001,769.393981609392
"191","CT43",2001,30659.8563864088
"192","CT44",2001,623120.558765706
"193","CT45",2001,95918.2347193964
"194","CT46",2001,1091.57642027991
"195","CT47",2001,663.475982534634
"196","CT48",2001,16066.3633505465
"197","CT49",2001,21393.1032530643
"198","CT5",2001,217841.430046624
"199","CT50",2001,690.517569949072
"200","CT51",2001,108.01751442054
"201","CT52",2001,23864.4412040055
"202","CT53",2001,445.343972153297
"203","CT54",2001,1844.71430429716
"204","CT55",2001,195263.486453592
"205","CT56",2001,414597.504985566
"206","CT57",2001,8347.9073050346
"207","CT58",2001,361101.953958753
"208","CT59",2001,398427.799617616
"209","CT6",2001,199943.315490803
"210","CT60",2001,21458.9824763876
"211","CT61",2001,83478.0542771994
"212","CT7",2001,332.872853392475
"213","CT8",2001,16795.7266607836
"214","CT9",2001,4269.03513568977
"215","FR1",2001,416.222105378743
"216","FR10",2001,1420.44975933729
"217","FR11",2001,1815.5495369579
"218","FR12",2001,123537.439027799
"219","FR13",2001,161584.414890898
"220","FR14",2001,11412.4406580748
"221","FR15",2001,74595.0411604406
"222","FR16",2001,20977.6172196753
"223","FR17",2001,9106.32340834365
"224","FR18",2001,725.623478028044
"225","FR19",2001,10292.2657741548
"226","FR2",2001,331.588422903901
"227","FR20",2001,282.488826553468
"228","FR21",2001,10012.2878756883
"229","FR22",2001,2006.46665777372
"230","FR23",2001,234.189793916758
"231","FR24",2001,4.86743336272023
"232","FR25",2001,1514.32037269778
"233","FR26",2001,56.0486488103106
"234","FR27",2001,68604.7022869947
"235","FR28",2001,30207.2928719454
"236","FR29",2001,5675.15811481024
"237","FR3",2001,45307.9909966071
