"hexid","ATT","CI.lower","CI.upper","period","OmittedControl","insig"
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.28786908302262,-5.51603484652219,10.0917730125674,"0-36","CT1",TRUE
"ALL",2.14106168578376,-5.62669498771561,9.90881835928313,"0-36","CT12",TRUE
"ALL",2.30778299698588,-5.45688882171638,10.0724548156881,"0-36","CT13",TRUE
"ALL",0.941139735845927,-6.55282474853353,8.43510422022538,"0-36","CT16",TRUE
"ALL",2.21083640993494,-5.5784834340209,10.0001562538908,"0-36","CT19",TRUE
"ALL",2.15197240821235,-5.62144802212503,9.92539283854973,"0-36","CT2",TRUE
"ALL",2.15579346497373,-5.61954571929209,9.93113264923956,"0-36","CT20",TRUE
"ALL",1.02261680761762,-6.67767343946229,8.72290705469753,"0-36","CT22",TRUE
"ALL",1.55264582126688,-6.20376586166393,9.30905750419769,"0-36","CT25",TRUE
"ALL",2.43074591958111,-5.39311113787645,10.2546029770387,"0-36","CT28",TRUE
"ALL",2.16830098992216,-5.60945818268086,9.94606016252519,"0-36","CT29",TRUE
"ALL",2.04941004535245,-5.68697524490668,9.78579533561158,"0-36","CT31",TRUE
"ALL",2.12010515427314,-5.57524124123313,9.8154515497794,"0-36","CT32",TRUE
"ALL",2.1395143516767,-5.60814742881804,9.88717613217143,"0-36","CT37",TRUE
"ALL",2.38530773033391,-5.38891560131239,10.1595310619802,"0-36","CT38",TRUE
"ALL",2.35519736673092,-5.44178058519791,10.1521753186598,"0-36","CT4",TRUE
"ALL",2.0721847134091,-5.67601724127593,9.82038666809413,"0-36","CT42",TRUE
"ALL",2.20187470213863,-5.56775214101834,9.9715015452956,"0-36","CT43",TRUE
"ALL",2.07130367520873,-5.6807650795077,9.82337242992517,"0-36","CT44",TRUE
"ALL",2.08614068775521,-5.66622959280021,9.83851096831063,"0-36","CT47",TRUE
"ALL",2.22067122673294,-5.56401592608554,10.0053583795514,"0-36","CT48",TRUE
"ALL",2.12349272619953,-5.63869297371741,9.88567842611646,"0-36","CT49",TRUE
"ALL",2.23608766757678,-5.53136008598669,10.0035354211402,"0-36","CT5",TRUE
"ALL",2.12184867430589,-5.635281770227,9.87897911883878,"0-36","CT52",TRUE
"ALL",2.18647858880567,-5.59173754804434,9.96469472565568,"0-36","CT53",TRUE
"ALL",2.14877041468292,-5.61916916668122,9.91670999604706,"0-36","CT54",TRUE
"ALL",2.15882101738657,-5.62308229874886,9.940724333522,"0-36","CT56",TRUE
"ALL",2.10600863422556,-5.65582375700432,9.86784102545544,"0-36","CT57",TRUE
"ALL",2.23932226950128,-5.55508319864209,10.0337277376447,"0-36","CT58",TRUE
"ALL",2.18555846643742,-5.58323943045903,9.95435636333387,"0-36","CT59",TRUE
"ALL",2.29109583515275,-5.49189880048287,10.0740904707884,"0-36","CT6",TRUE
"ALL",2.3311412654925,-5.49357365641065,10.1558561873957,"0-36","CT60",TRUE
"ALL",2.23298662279002,-5.56349018512593,10.029463430706,"0-36","CT61",TRUE
"ALL",2.46232309455018,-5.35309779475534,10.2777439838557,"0-36","NONE",TRUE
"ALL",2.27021194318047,-5.54491257675856,10.0853364631195,"0-36","CT1",TRUE
"ALL",2.28140041542836,-5.55656410834347,10.1193649392002,"0-36","CT12",TRUE
"ALL",2.78355338750259,-5.05877192839054,10.6258787033957,"0-36","CT13",TRUE
"ALL",3.00665574471489,-4.44774377329347,10.4610552627233,"0-36","CT16",TRUE
"ALL",2.32099159921118,-5.57908109363996,10.2210642920623,"0-36","CT19",TRUE
"ALL",2.33093937762764,-5.5254560686414,10.1873348238967,"0-36","CT2",TRUE
"ALL",2.28984830010982,-5.54112939617306,10.1208259963927,"0-36","CT20",TRUE
"ALL",2.61113893949376,-5.23066369865532,10.4529415776428,"0-36","CT22",TRUE
"ALL",2.43302938238117,-5.3910395360513,10.2570983008136,"0-36","CT28",TRUE
"ALL",2.32140086059011,-5.55631907219753,10.1991207933778,"0-36","CT29",TRUE
"ALL",2.31202052404278,-5.55409393499069,10.1781349830762,"0-36","CT31",TRUE
"ALL",2.69759062503077,-4.95222262338721,10.3474038734487,"0-36","CT32",TRUE
"ALL",2.37001931446619,-5.45023245877625,10.1902710877086,"0-36","CT37",TRUE
"ALL",1.35001341537174,-6.52336024604633,9.22338707678981,"0-36","CT38",TRUE
"ALL",2.14077782740444,-5.63554018333816,9.91709583814704,"0-36","CT4",TRUE
"ALL",2.27846531982089,-5.54464825315859,10.1015788928004,"0-36","CT42",TRUE
"ALL",2.30546005536502,-5.50169770398022,10.1126178147103,"0-36","CT43",TRUE
"ALL",2.91335673476439,-4.92644777370603,10.7531612432348,"0-36","CT44",TRUE
"ALL",2.32577119097796,-5.55932921628539,10.2108715982413,"0-36","CT47",TRUE
"ALL",2.27541479889327,-5.57934791848667,10.1301775162732,"0-36","CT48",TRUE
"ALL",2.38862648047304,-5.43456660013549,10.2118195610816,"0-36","CT49",TRUE
"ALL",2.1207885534659,-5.72187068406037,9.96344779099218,"0-36","CT5",TRUE
"ALL",2.32576511684262,-5.55788137330051,10.2094116069858,"0-36","CT52",TRUE
"ALL",2.30075128837122,-5.52353066237574,10.1250332391182,"0-36","CT53",TRUE
"ALL",2.27663348541773,-5.54212015231236,10.0953871231478,"0-36","CT54",TRUE
"ALL",2.37743078845241,-5.42238585068453,10.1772474275894,"0-36","CT56",TRUE
"ALL",2.31160563270608,-5.49080600722805,10.1140172726402,"0-36","CT57",TRUE
"ALL",2.04617041388409,-5.81656335681272,9.90890418458089,"0-36","CT58",TRUE
"ALL",2.26172300950187,-5.63681050135844,10.1602565203622,"0-36","CT59",TRUE
"ALL",0.909336239557531,-6.97120892609061,8.78988140520567,"0-36","CT6",TRUE
