"","hexid","ATT","CI.lower","CI.upper","period"
"1","FR81",-0.907127673944736,-4.03097932224918,2.21672397435971,"0-12"
"2","FR5",-2.68598940877905,-5.92375934517891,0.551780527620799,"0-12"
"3","FR77",-1.14104446825431,-4.2457174883369,1.96362855182827,"0-12"
"4","FR32",-1.20642389057121,-4.26591176659766,1.85306398545523,"0-12"
"5","FR25",-1.59788932845998,-4.74937974615618,1.55360108923622,"0-12"
"6","FR47",-1.36215701874205,-4.47782649525744,1.75351245777334,"0-12"
"7","FR18",-1.29233551501131,-4.34980414294983,1.76513311292721,"0-12"
"8","FR41",-1.35420414215075,-4.40625211655034,1.69784383224885,"0-12"
"9","FR21",-1.22070278872212,-4.30392291756167,1.86251734011743,"0-12"
"10","FR44",-1.42128820130734,-4.63608431363531,1.79350791102064,"0-12"
"11","FR29",-1.37385313001951,-4.59349964867113,1.84579338863212,"0-12"
"12","FR76",-1.1747622951122,-4.27646699931442,1.92694240909002,"0-12"
"13","FR38",-1.36090406177624,-4.46536626983768,1.7435581462852,"0-12"
"14","FR89",-1.17315704851727,-4.29594287551599,1.94962877848145,"0-12"
"15","FR23",-1.5321177334079,-4.76323206062772,1.69899659381193,"0-12"
"16","FR7",-0.480187474326423,-3.64283643291296,2.68246148426012,"0-12"
"17","FR13",-1.60714505953986,-4.70325288079968,1.48896276171996,"0-12"
"18","FR91",-1.34418613505198,-4.46211635542617,1.7737440853222,"0-12"
"19","FR92",-1.0861687833152,-4.24601243745801,2.07367487082761,"0-12"
"20","FR81",1.20157109353343,-2.51765318847466,4.92079537554151,"12-24"
"21","FR5",1.39823736332295,-2.39472785796618,5.19120258461208,"12-24"
"22","FR77",1.13837541599031,-2.56926514605955,4.84601597804016,"12-24"
"23","FR32",0.582875638438202,-3.05300555830149,4.21875683517789,"12-24"
"24","FR25",0.913478636465689,-2.84181742561369,4.66877469854507,"12-24"
"25","FR47",0.434142523416363,-3.43406896370635,4.30235401053907,"12-24"
"26","FR18",0.742955046696299,-2.89972210308522,4.38563219647782,"12-24"
"27","FR41",0.668415747971684,-2.96200731847546,4.29883881441883,"12-24"
"28","FR21",0.799392335266553,-2.87421471692773,4.47299938746084,"12-24"
"29","FR44",0.586777306980227,-3.1954810569547,4.36903567091516,"12-24"
"30","FR29",0.730073818601697,-2.97213228599405,4.43227992319745,"12-24"
"31","FR76",0.89773131462085,-2.77109251737798,4.56655514661968,"12-24"
