"hexid","month","observed","predicted","CI.lower","CI.upper"
"ALL",-36,0.146227936333356,0.314561653328292,-0.271419827749259,0.900543134405844
"ALL Over 10",-36,0.360317783620632,0.798799696655741,-0.121038763620497,1.71863815693198
"ALL Under 10",-36,0,-0.0161832683347146,-0.776384735839401,0.744018199169972
"FR12",-36,1,1.09498101587947,-2.88646612281261,5.07642815457155
"FR13",-36,0,0.751277548865956,-2.43819789975057,3.94075299748248
"FR18",-36,0,-0.00844007933051039,-2.42171635582829,2.40483619716727
"FR21",-36,0,0.410330645566497,-2.20638722672445,3.02704851785744
"FR23",-36,0,0.0434250769125337,-1.89879441783545,1.98564457166052
"FR25",-36,0,0.281447933300158,-3.52104493362092,4.08394080022123
"FR29",-36,0,0.453740803770204,-3.54780449263042,4.45528610017082
"FR32",-36,0,1.02887017097322,-2.12169508455563,4.17943542650207
"FR38",-36,0,1.00078571076549,-2.17219379020003,4.17376521173101
"FR41",-36,0,0.566226061997076,-1.97530481533453,3.10775693932869
"FR44",-36,0,-0.102571100479539,-3.35854944003114,3.15340723907207
"FR47",-36,0,0.153617698622116,-2.54492236201381,2.85215775925804
"FR5",-36,1,0.902917028950022,-1.19603370268705,3.00186776058709
"FR76",-36,0,-0.122471540430195,-3.26433494322615,3.01939186236576
"FR77",-36,0,0.110203152681352,-1.93288093222682,2.15328723758952
"FR81",-36,0,0.00364662926246406,-1.72084677159758,1.7281400301225
"FR89",-36,0,-0.266670841372913,-2.04660920934827,1.51326752660245
"FR91",-36,1,0.820409261360636,-1.89333913580908,3.53415765853035
"FR92",-36,0,1.12172374685752,-2.13385771828905,4.37730521200409
"ALL",-35,0.390470227682114,0.362138359876109,-0.14125178594565,0.865528505697867
"ALL Over 10",-35,0.852624373797665,0.780915774447835,0.0370584928589386,1.52477305603673
"ALL Under 10",-35,0,0.00831677504267003,-0.675421913623356,0.692055463708696
"FR12",-35,1,2.10695072520246,-0.367223914588389,4.58112536499331
"FR13",-35,0,0.805650937173547,-2.06272482783571,3.6740267021828
"FR18",-35,0,0.0926526552091094,-4.49040806107195,4.67571337149017
"FR21",-35,1,0.416776676883112,-0.785633847144622,1.61918720091085
"FR23",-35,0,0.235006322970755,-2.4451507552302,2.91516340117171
"FR25",-35,0,-0.0441340268853706,-3.89169305325203,3.80342499948129
"FR29",-35,1,0.165947736624595,-2.3271831822544,2.65907865550359
"FR32",-35,0,0.689006894848105,-4.80983893441842,6.18785272411463
"FR38",-35,1,0.876528617847013,-1.42263715419824,3.17569438989227
"FR41",-35,0,0.374985785308273,-4.37725086310824,5.12722243372478
"FR44",-35,0,0.379927103856095,-1.64201934436521,2.4018735520774
"FR47",-35,0,-0.181598123547501,-2.1244304886717,1.7612342415767
"FR5",-35,1,1.00422848874047,-1.6619088239763,3.67036580145724
"FR76",-35,0,-0.273782261702303,-2.87137212969369,2.32380760628908
"FR77",-35,0,-0.0734606503748533,-1.76477915984599,1.61785785909629
"FR81",-35,0,0.0992290915116394,-1.76924056871821,1.96769875174149
"FR89",-35,0,-0.0395029686305329,-1.34038029446201,1.26137435720095
"FR91",-35,1,1.30895440043609,-0.954688164246923,3.5725969651191
"FR92",-35,0,0.775510818743246,-3.07484959048314,4.62587122796963
"ALL",-34,0.22507540283705,0.305613202610183,-0.255872954988297,0.867099360208664
"ALL Over 10",-34,0.570569506012723,0.745356025874713,-0.148627085695322,1.63933913744475
"ALL Under 10",-34,0,0.0191385792194629,-0.702422356218292,0.740699514657218
"FR12",-34,3,3.49489027423387,-0.190475412735628,7.18025596120337
"FR13",-34,0,0.322755011076849,-1.70449938456271,2.35000940671641
"FR18",-34,0,-0.0429621440555832,-3.00432141483533,2.91839712672417
"FR21",-34,0,0.369093664327855,-2.12553247230582,2.86371980096153
"FR23",-34,0,-0.0198884765222713,-2.93724031439892,2.89746336135438
"FR25",-34,0,-0.129170057844174,-3.57117342178573,3.31283330609738
"FR29",-34,1,0.890118649122296,-2.28454158905972,4.06477888730431
"FR32",-34,1,0.415585573697657,-4.8591871477458,5.69035829514111
"FR38",-34,0,0.478288025261816,-1.39181339424286,2.34838944476649
"FR41",-34,0,0.36857924870765,-2.59435235457257,3.33151085198787
"FR44",-34,0,0.368086075005225,-2.01263764337196,2.74880979338241
"FR47",-34,0,0.321396537506084,-2.73091404220001,3.37370711721218
"FR5",-34,3,1.27215280550302,-1.80516163712075,4.34946724812679
"FR76",-34,0,-0.246324146869931,-1.80484516433764,1.31219687059777
"FR77",-34,0,-0.108631052640224,-2.42661925388673,2.20935714860628
"FR81",-34,0,0.145612933133148,-1.84806853938089,2.13929440564718
"FR89",-34,0,0.0857779428796919,-1.37042741822471,1.54198330398409
"FR91",-34,0,0.739260565859658,-2.55918541433673,4.03770654605605
"FR92",-34,1,1.29432106930541,-3.63941267371313,6.22805481232395
"ALL",-33,0.23749567605383,0.305304098195286,-0.176202673516749,0.78681086990732
"ALL Over 10",-33,0.397096152436815,0.647164151507425,-0.0485629973502761,1.34289130036513
"ALL Under 10",-33,0.0907668526706634,-0.0089852104645992,-0.676067754987784,0.658097334058586
"FR12",-33,1,2.41540291511336,-0.644770234892994,5.47557606511971
"FR13",-33,1,1.00951518225152,-2.29744878422024,4.31647914872327
"FR18",-33,0,-0.130537288918058,-5.82417520952293,5.56310063168681
"FR21",-33,0,0.511717909233128,-0.792024949508712,1.81546076797497
"FR23",-33,0,0.352590373784306,-3.29191352460571,3.99709427217433
"FR25",-33,0,-0.0732256241079867,-3.55980090068367,3.41334965246769
"FR29",-33,0,0.097454001548217,-1.28732066877424,1.48222867187067
"FR32",-33,1,0.746452563430847,-5.95552919698712,7.44843432384882
"FR38",-33,0,0.263477498442317,-1.7158932908233,2.24284828770793
"FR41",-33,0,0.454142047560191,-5.05959049655592,5.9678745916763
"FR44",-33,1,0.321259835519993,-2.41978421751294,3.06230388855293
"FR47",-33,1,0.238736615064759,-3.51753235731734,3.99500558744686
"FR5",-33,1,1.42274534492781,-0.549482414909479,3.3949731047651
"FR76",-33,0,-0.0718497340766106,-1.45726812992192,1.3135686617687
"FR77",-33,0,-0.187976766547934,-1.31035244221984,0.934398909123969
"FR81",-33,0,0.170048557913873,-2.19791330132852,2.53801041715626
"FR89",-33,0,0.165794527368463,-1.49703560529717,1.8286246600341
"FR91",-33,2,0.864534250943287,-1.69734462739756,3.42641312928414
"FR92",-33,1,1.01362420304929,-4.11104878059084,6.13829718668942
"ALL",-32,0.60558569823497,0.231123056739869,-0.273297456244668,0.735543569724405
"ALL Over 10",-32,0.902373759787226,0.546479619710621,-0.240750974393318,1.33371021381456
"ALL Under 10",-32,0.3988612700621,0.0114649451240417,-0.645549094063139,0.668478984311223
"FR12",-32,4,1.91657745352713,-1.13519832502623,4.96835323208049
"FR13",-32,4,1.1245748608506,-2.79730082442259,5.04645054612379
"FR18",-32,0,-0.163924520408489,-5.09344574596799,4.76559670515101
"FR21",-32,0,0.368877861732611,-1.05945515331971,1.79721087678494
"FR23",-32,0,0.324378357856658,-2.14496787796916,2.79372459368247
"FR25",-32,0,-0.0415016189297739,-3.20807782991728,3.12507459205774
"FR29",-32,0,0.327226511401063,-1.78974231612458,2.44419533892671
"FR32",-32,0,0.41372663507385,-4.34047367298229,5.16792694312999
"FR38",-32,0,0.344613590224226,-1.83273608095978,2.52196326140823
"FR41",-32,0,0.101151707935596,-4.67111081767352,4.87341423354472
"FR44",-32,0,-0.120014180814065,-3.21011893364666,2.97009057201853
"FR47",-32,0,0.229909777097526,-3.47760894506594,3.937428499261
"FR5",-32,1,0.502999231172964,-1.60304862439091,2.60904708673684
"FR76",-32,0,-0.213391579627737,-1.73936738668466,1.31258422742918
"FR77",-32,0,0.0694065173880076,-2.01946590545734,2.15827894023335
"FR81",-32,1,0.0815140237485051,-0.958798234304712,1.12182628180172
"FR89",-32,0,-0.07748288470854,-2.07102851307652,1.91606274365944
"FR91",-32,3,0.619199120148243,-1.81443214799568,3.05283038829216
"FR92",-32,1,1.03345539171024,-4.34837763206294,6.41528841548342
"ALL",-31,0.324671443633612,0.231008505249495,-0.201999381308386,0.664016391807375
"ALL Over 10",-31,0.834321646048846,0.610954606157393,-0.0831749162502929,1.30508412856508
"ALL Under 10",-31,0,-0.0110352504483102,-0.565056549845325,0.542986048948705
"FR12",-31,2,1.96342667312787,-0.935628994420432,4.86248234067617
"FR13",-31,1,1.12810497126002,-2.64930110740833,4.90551104992837
"FR18",-31,0,-0.135156064285815,-6.49828468989025,6.22797256131862
"FR21",-31,1,0.275967183157018,-1.24881671007065,1.80075107638469
"FR23",-31,0,0.227691605095653,-2.83850194340951,3.29388515360081
"FR25",-31,0,-0.148452316573504,-2.69659059123068,2.39968595808367
"FR29",-31,0,0.341015652380303,-1.05971980688636,1.74175111164696
"FR32",-31,0,-0.0284178423470756,-2.9911297006196,2.93429401592545
"FR38",-31,0,0.445596501718141,-2.05397081305326,2.94516381648954
"FR41",-31,1,0.498925855433662,-5.97233627626708,6.9701879871344
"FR44",-31,0,-0.0511162135490272,-2.38387474180669,2.28164231470863
"FR47",-31,0,-0.548290515597905,-3.49585224666341,2.3992712154676
"FR5",-31,2,0.79167344377117,-0.973878491569126,2.55722537911147
"FR76",-31,0,-0.181645326558249,-1.89804636691474,1.53475571379824
"FR77",-31,0,-0.0437219984599544,-1.20175400204083,1.11431000512092
"FR81",-31,0,0.0562545775005212,-1.54555451402363,1.65806366902467
"FR89",-31,0,0.0924546509491971,-0.820736918999061,1.00564622089746
"FR91",-31,1,0.610363404081146,-1.36081129520657,2.58153810336886
"FR92",-31,1,2.4331691918441,-1.33026630059662,6.19660468428483
"ALL",-30,0.195459151320438,0.326757064899957,-0.130569076282359,0.784083206082272
"ALL Over 10",-30,0.18691117508637,0.582024819406406,-0.0968131459022978,1.26086278471511
"ALL Under 10",-30,0.202562733042103,0.1146231860275,-0.50420938035261,0.73345575240761
"FR12",-30,1,1.95751593244506,-0.538479151468776,4.4535110163589
"FR13",-30,1,0.836853660339797,-2.20047917797082,3.87418649865041
"FR18",-30,0,0.102527688779299,-5.05127890228578,5.25633427984438
"FR21",-30,0,0.655886600296155,-1.78647077768451,3.09824397827682
"FR23",-30,0,0.219898538104014,-1.97471545499828,2.41451253120631
